RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,265796,250936,14860
19059,8537,8221,316
19161,4302,3915,387
19027,10547,9453,1094
19013,65341,59596,5745
19017,12776,11650,1126
19019,9594,8917,677
19103,91141,85878,5263
19195,3221,3023,198
19033,22279,20421,1858
19081,4455,3955,500
19169,51627,48549,3078
19139,21315,16991,4324
19165,5728,5466,262
19009,2769,2605,164
19191,10628,9699,929
19065,9015,8385,630
19061,52816,50881,1935
19147,3818,3566,252
19183,10432,9668,764
19003,1618,1545,73
19173,2409,2324,85
19041,7102,6688,414
19125,14494,12210,2284
19123,7959,7093,866
19157,9121,8623,498
19099,17996,16295,1701
19073,4313,3763,550
19113,125735,116589,9146
19049,50548,47847,2701
19193,43928,39180,4748
19171,8443,7536,907
19109,6733,6132,601
19187,17135,15617,1518
19011,12350,11385,965
19141,5894,5321,573
19045,20285,18706,1579
19067,7083,6466,617
19189,4642,4043,599
19131,4385,4152,233
19029,6356,5954,402
19135,3035,2672,363
19127,20752,17822,2930
19063,3925,3594,331
19159,2141,2095,46
19163,76447,70742,5705
19115,4719,3605,1114
19149,10946,8801,2145
19093,2811,2368,443
19015,14285,13442,843
19075,6454,5892,562
19091,4048,3646,402
19151,2989,2736,253
19055,7707,6814,893
19101,7387,6637,750
19005,5610,5369,241
19181,25266,23709,1557
19025,4874,4481,393
19083,7895,6883,1012
19069,4516,4107,409
19023,7199,6708,491
19133,3812,3542,270
19085,5622,5240,382
19137,4571,4021,550
19111,13770,12004,1766
19037,5466,4699,767
19197,6102,5122,980
19179,14168,11657,2511
19121,7347,6954,393
19095,8623,7863,760
19143,2340,2097,243
19051,2766,2579,187
19047,7382,6005,1377
19155,39946,37685,2261
19145,6638,6087,551
19043,7145,6546,599
19057,16242,15239,1003
19007,4809,4351,458
19107,3963,3638,325
19077,5321,4934,387
19129,6294,5980,314
19021,10351,7076,3275
19087,8961,7229,1732
19053,2633,2373,260
19097,8771,8351,420
19079,7835,7108,727
19035,5096,4688,408
19001,3010,2669,341
19175,5244,4936,308
19167,12163,10379,1784
19089,3940,3419,521
19119,3590,3372,218
19185,2263,2068,195
19039,4206,3461,745
19117,3296,2859,437
19031,9458,8747,711
19071,2669,2469,200
19177,2412,2167,245
19105,10423,9310,1113
,35,31,4
