ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,529637,21311,247733,13255
19021,18042,621,6866,3591
19027,20825,509,9504,1130
19049,90637,3137,43180,2523
19181,35325,1170,16639,1042
19013,142659,4367,65926,6232
19033,52731,1828,24418,1990
19169,102742,4207,48241,2868
19195,3487,43,1723,1
19083,13783,225,6076,1347
19189,8455,231,3851,506
19155,96642,3831,43501,4889
19139,33197,1046,13515,4999
19009,4138,37,2000,101
19005,11451,290,5517,119
19099,29115,687,13736,1159
19103,187019,5621,88729,4317
19017,26123,782,12032,1281
19065,21229,470,9906,934
19061,122875,3008,58909,2245
19041,16826,455,8059,307
19147,6888,164,3270,159
19193,92986,3951,42250,4961
19003,3568,74,1647,10
19173,4528,83,2196,24
19175,10137,317,4798,319
19067,13825,261,6228,1091
19063,10166,549,4556,386
19035,9692,215,4589,292
19123,15636,480,7266,575
19183,15254,508,7089,554
19179,25579,778,11861,960
19073,9466,193,4344,512
19113,253306,7147,119235,8941
19019,12892,293,6131,343
19101,16028,574,7239,981
19127,30922,1011,13538,2959
19109,12525,328,5831,499
19187,36252,1344,16637,1355
19037,5969,110,2761,345
19011,15658,349,7418,464
19045,35680,1558,16221,1604
19081,6752,76,2979,718
19131,9023,145,4346,166
19029,21178,441,10035,437
19135,6786,142,3153,306
19059,15675,462,7478,258
19159,4263,73,2063,6
19163,170332,6290,78237,6341
19125,28532,767,11789,4043
19149,17296,389,6943,2979
19015,23178,574,11041,577
19141,10996,242,5194,358
19091,8516,217,3874,401
19151,3978,72,1871,159
19055,10048,210,4546,781
19031,12744,231,6128,289
19167,22876,511,9831,2695
19143,3202,37,1493,181
19161,6589,88,3215,52
19069,7246,139,3421,256
19133,4494,79,2107,218
19075,9733,322,4488,423
19171,17734,530,8066,984
19137,7243,296,3172,583
19111,26574,827,11771,1968
19197,11506,273,4763,1725
19047,13923,342,5983,1591
19077,9079,169,4306,279
19093,3750,85,1581,506
19051,8220,154,3173,1667
19025,8461,78,4082,187
19145,14703,610,6607,848
19057,37688,1714,17598,727
19007,9124,267,4141,483
19157,18829,458,9011,440
19191,17498,498,7985,1062
19023,7871,86,3793,177
19087,16779,480,7149,1949
19001,4762,114,2181,333
19079,14445,233,6821,411
19095,12098,200,5627,624
19119,6107,110,2953,79
19043,12760,183,5932,669
19117,7362,148,3354,417
19039,9916,245,4145,1365
19107,3316,30,1594,100
19165,11779,254,5669,146
19185,6414,164,2877,388
19115,8020,142,3174,1538
19053,6022,159,2822,123
19177,3022,76,1409,126
19121,14101,281,6791,162
19085,7049,243,3268,257
,10375,244,5211,1
19105,13384,244,6090,911
19097,16392,320,7913,263
19129,12217,488,5775,150
19089,4553,109,2136,189
19071,3355,59,1599,98
