County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,37345,213654,10641,474891
Linn,13892,106396,7892,233298
Johnson,10731,79756,3762,173648
Scott,10385,69073,5547,155333
Story,7266,42776,2471,94537
Black Hawk,7131,59266,5649,131550
Dallas,5987,37575,2159,81884
Pottawattamie,5864,38663,4693,88825
Dubuque,4986,54580,1923,115876
Woodbury,4895,38098,4490,85171
Cerro Gordo,2843,22029,1612,48580
Des Moines,2266,15882,643,34709
Clinton,1948,14323,1349,32021
Warren,1870,15264,863,33094
Webster,1754,15365,1023,33737
Muscatine,1558,12122,4612,30548
Marshall,1533,11943,2601,27955
Jasper,1349,12425,971,26976
Tama,1332,7091,964,16498
Wapello,1233,10735,558,23375
Bremer,1225,11047,1136,24449
Lee,1137,10718,1641,24461
Boone,1108,10060,492,21677
Marion,961,10923,3957,26917
Carroll,864,8716,1032,19491
Winneshiek,845,7164,935,16097
Washington,815,6412,479,14129
Jefferson,801,6557,899,14819
Buena Vista,787,6104,3250,16337
Mills,744,4847,138,10594
Poweshiek,735,8289,358,17576
Page,734,6201,695,13865
Sioux,713,9172,2536,21607
Clay,704,7540,214,15944
Cass,644,9546,369,20323
Emmet,637,4353,347,9800
Mahaska,630,6784,456,14698
Fayette,605,9456,871,20403
Dickinson,589,6999,201,14792
Plymouth,587,6431,2858,16344
Henry,563,6707,1712,15747
Wright,520,4347,1650,10844
Kossuth,505,5422,460,11860
Jones,484,5621,795,12578
Jackson,479,7454,224,15600
Madison,472,6433,144,13537
Benton,470,6990,436,14900
Union,466,4391,253,9415
Crawford,448,5523,1558,13076
Greene,431,3995,474,8968
Floyd,421,5843,962,13088
Hardin,412,5673,1270,13083
O'Brien,410,4826,307,10377
Buchanan,400,5730,288,12149
Clarke,395,3776,1329,9288
Hamilton,388,6427,396,13789
Guthrie,386,3983,229,8596
Cedar,385,5788,259,12191
Grundy,372,4282,337,9283
Allamakee,362,5312,102,11093
Appanoose,358,3904,454,8709
Delaware,358,4205,723,9457
Iowa,356,5324,573,11599
Harrison,350,3118,219,6815
Winnebago,323,3578,473,7974
Montgomery,322,2946,554,6796
Shelby,311,5380,101,11217
Humboldt,298,3686,364,8174
Cherokee,285,4340,236,9210
Monroe,281,2889,262,6349
Lucas,260,3108,372,6943
Out of State,250,5211,0,10401
Clayton,238,5804,633,12528
Mitchell,223,4134,129,8637
Franklin,220,3247,223,6949
Monona,218,1924,164,4214
Wayne,216,2786,365,6253
Adair,216,2042,314,4553
Decatur,211,2690,118,5801
Davis,210,3048,1647,7981
Palo Alto,203,3117,138,6604
Louisa,180,3062,1513,7794
Howard,164,1983,159,4273
Ringgold,153,1932,4,4072
Chickasaw,140,2650,316,5749
Lyon,134,2873,64,5946
Hancock,131,2862,690,6544
Butler,121,3726,150,7738
Sac,116,3173,42,6523
Adams,115,1586,6,3473
Calhoun,113,4026,159,8352
Taylor,109,2115,15,4377
Pocahontas,104,1786,140,3819
Ida,93,1507,478,3583
Fremont,89,1537,94,3257
Worth,81,1642,1,3363
Audubon,79,1927,101,4031
Van Buren,76,1386,99,2949
Keokuk,61,1530,100,3219
Osceola,41,1435,155,3066
