Age Group Public,RECIP_ID
0 - 11,40
12 - 15,126894
16 - 17,72153
18 - 19,78925
20 - 29,379801
30 - 39,414878
40 - 49,422557
50 - 59,506713
60 - 64,307696
65+,939998
