County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,27199,254757,14781,551115
Linn,10058,121772,9486,261821
Scott,7865,80166,6617,176036
Johnson,6713,90226,4538,191373
Black Hawk,5803,67642,6368,147660
Woodbury,5350,43674,5053,97329
Pottawattamie,5237,44542,4980,100221
Story,4860,49199,3141,105625
Dallas,4381,44313,2810,94443
Dubuque,3946,60090,2347,126280
Cerro Gordo,2526,25013,2061,54689
Des Moines,2138,18186,763,39329
Clinton,1827,16744,1698,37095
Webster,1753,17122,1428,37665
Warren,1583,16950,1120,36432
Marshall,1403,13949,3173,32338
Muscatine,1341,13886,5170,34397
Lee,1274,12078,2131,27794
Wapello,1174,12159,1036,26652
Marion,1105,12071,4122,29518
Jasper,1020,14002,1194,30012
Bremer,1009,12321,1389,27037
Buena Vista,993,7111,3632,18944
Page,776,6764,855,15186
Sioux,754,10035,2779,23613
Jefferson,743,7423,1003,16585
Carroll,735,9727,1210,21573
Boone,719,11309,603,23861
Winneshiek,693,8205,1069,18138
Henry,692,7330,2018,17420
Dickinson,672,7630,280,16211
Washington,670,7276,591,15825
Tama,657,8167,984,18062
Mahaska,655,7473,589,16236
Clay,642,8227,313,17347
Poweshiek,641,9151,458,19307
Cass,607,10168,464,21637
Emmet,603,4627,406,10389
Mills,585,5863,166,12510
Plymouth,582,7097,2995,17807
Fayette,579,10057,958,21660
Crawford,574,6120,1608,14446
Buchanan,521,6264,356,13397
Jackson,499,8043,294,16861
Grundy,493,4550,496,10097
Benton,479,7566,478,16089
Union,470,4920,346,10561
Delaware,462,4610,821,10466
Hardin,439,6153,1348,14163
Floyd,421,6337,1213,14325
Montgomery,418,3260,599,7562
Kossuth,412,5955,517,12880
Appanoose,410,4208,506,9422
Allamakee,392,5629,126,11785
Clarke,389,4245,1387,10277
Madison,374,6906,182,14445
Jones,368,6190,984,13776
Harrison,350,3297,269,7228
Hamilton,348,6923,418,14776
Shelby,348,5789,167,12128
O'Brien,346,5288,389,11315
Wright,333,4903,1789,11906
Cedar,321,6226,298,13039
Winnebago,313,3943,513,8729
Cherokee,313,4675,362,10031
Humboldt,288,3934,432,8740
Guthrie,282,4357,310,9326
Greene,261,4405,522,9665
Clayton,247,5979,669,12919
Out of State,241,5210,1,10379
Iowa,238,5674,649,12256
Davis,236,3234,1686,8444
Franklin,232,3463,269,7435
Mitchell,212,4426,181,9268
Decatur,207,2857,128,6144
Palo Alto,205,3317,165,7028
Wayne,199,2902,405,6518
Monroe,196,3198,356,6981
Lucas,196,3406,440,7539
Howard,175,2171,220,4720
Louisa,169,3217,1551,8146
Adair,160,2203,344,4866
Chickasaw,135,2804,362,6096
Lyon,134,2989,104,6227
Ringgold,128,2096,6,4383
Monona,120,2142,229,4617
Ida,118,1591,527,3825
Sac,117,3219,64,6641
Taylor,115,2226,30,4625
Hancock,114,3009,740,6871
Butler,108,3812,190,7942
Calhoun,105,4091,208,8527
Pocahontas,103,1901,178,4087
Fremont,100,1607,98,3412
Adams,82,1660,15,3608
Keokuk,71,1601,100,3371
Van Buren,71,1420,131,3044
Worth,66,1739,1,3542
Osceola,52,1514,191,3270
Audubon,48,2026,101,4201
