RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,544256,24450,252446,14914
19059,17385,548,8260,317
19161,8560,281,3945,389
19027,20661,558,9499,1105
19013,130887,5178,59979,5751
19017,25320,778,11709,1124
19019,19297,660,8978,681
19103,183230,5536,86187,5320
19195,6476,207,3035,199
19033,44663,1686,20556,1865
19081,8730,275,3977,501
19169,104733,4087,48775,3096
19139,40134,1638,17084,4328
19165,11548,327,5479,263
19009,5574,147,2631,165
19191,20992,596,9733,930
19065,18160,652,8438,632
19061,106956,2873,51073,1937
19147,7666,250,3581,254
19183,20946,764,9708,766
19003,3295,120,1551,73
19173,4883,138,2330,85
19041,14339,496,6714,415
19125,27946,1092,12285,2284
19123,15792,647,7138,869
19157,18482,673,8652,505
19099,35806,1380,16364,1698
19073,8456,320,3793,550
19113,251652,8323,117076,9177
19049,103187,4145,48160,2722
19193,88080,4446,39440,4754
19171,16917,674,7669,905
19109,13325,407,6158,602
19187,34430,1460,15722,1526
19011,24771,852,11475,969
19141,11628,349,5350,579
19045,40833,1610,18816,1591
19067,14058,446,6495,622
19189,9004,290,4057,600
19131,8884,290,4180,234
19029,12734,384,5973,404
19135,5909,190,2678,363
19127,40477,1637,17952,2936
19063,7961,395,3616,334
19159,4381,110,2112,47
19163,154621,6600,71137,5747
19115,8743,386,3619,1119
19149,20637,783,8855,2144
19093,5415,205,2384,442
19015,28829,975,13502,850
19075,12894,490,5920,564
19091,7997,268,3664,401
19151,5925,179,2746,254
19055,15168,503,6886,893
19101,14736,653,6664,755
19005,11460,438,5390,242
19181,51367,2092,23856,1563
19025,9667,271,4500,396
19083,15396,540,6920,1016
19069,9002,338,4126,412
19023,14431,457,6741,492
19133,7668,278,3558,274
19085,11585,587,5307,384
19137,9074,417,4054,549
19111,26906,989,12070,1777
19037,10593,343,4742,766
19197,11674,392,5148,986
19179,27112,1117,11743,2509
19121,14892,538,6980,394
19095,17084,501,7909,765
19143,4546,105,2099,243
19051,5584,201,2598,187
19047,14031,572,6039,1381
19155,82112,3811,38012,2277
19145,13346,578,6108,552
19043,14110,379,6566,599
19057,33262,1576,15340,1006
19007,9617,393,4381,462
19107,7903,258,3659,327
19077,10706,363,4978,387
19129,12846,514,6009,314
19021,18699,1138,7143,3275
19087,16996,701,7276,1743
19053,5257,229,2384,260
19097,17754,507,8412,423
19079,15490,499,7131,729
19035,10226,390,4714,408
19001,5945,225,2689,342
19175,10674,420,4973,308
19167,23537,887,10433,1784
19089,7718,317,3441,519
19119,7157,182,3376,223
19185,4526,182,2072,200
19039,8087,372,3484,747
19105,20419,597,9351,1120
19117,6385,206,2872,435
19031,18839,543,8790,716
19071,5333,187,2472,202
19177,4834,202,2189,254
,71,5,31,4
