ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,558141,28283,257484,15298
19021,19255,1096,7215,3632
19027,21830,753,9834,1236
19049,95790,4595,44874,2815
19181,36812,1615,17113,1141
19013,149408,6219,68295,6394
19033,55436,2630,25309,2113
19169,106698,5088,49585,3215
19195,3574,68,1754,1
19083,14281,435,6210,1351
19189,8822,298,3997,513
19081,6914,140,3016,743
19155,101496,5504,45041,4982
19139,34839,1375,14060,5229
19009,4214,59,2028,101
19005,11937,416,5688,128
19099,30295,1077,14106,1212
19103,192788,6999,90772,4558
19017,27455,1020,12499,1442
19065,21845,619,10133,960
19061,127589,4140,60616,2410
19041,17525,695,8291,313
19063,10456,615,4649,414
19147,7079,203,3340,170
19193,98884,5689,44278,5061
19003,3633,86,1669,19
19173,4656,118,2238,34
19175,10677,492,4965,352
19067,14506,456,6410,1218
19035,10141,348,4707,372
19123,16380,676,7534,589
19183,16018,682,7365,594
19179,26993,1257,12285,1043
19073,9723,281,4423,525
19113,264575,10281,122986,9603
19019,13622,530,6365,371
19101,16760,773,7495,1003
19127,32777,1474,14110,3220
19109,12955,420,5984,527
19187,38124,1753,17350,1434
19037,6136,147,2818,362
19011,16198,509,7605,479
19141,11403,355,5324,397
19045,37539,1871,16942,1701
19131,9390,255,4459,192
19029,21767,608,10227,473
19135,7064,174,3243,372
19059,16383,663,7717,280
19159,4427,132,2116,6
19163,178123,8317,80937,6709
19125,29806,1147,12181,4142
19149,17951,585,7168,2995
19015,24082,721,11412,606
19091,8821,304,3964,436
19151,4110,109,1909,178
19055,10535,475,4637,822
19031,13109,326,6258,298
19167,23881,837,10123,2788
19143,3286,52,1518,199
19161,6670,141,3220,67
19069,7476,231,3483,271
19133,4635,124,2148,231
19075,10190,510,4585,506
19171,18142,679,8195,984
19137,7665,442,3296,605
19111,28186,1331,12219,2186
19197,12000,353,4929,1809
19047,14613,596,6192,1608
19077,9400,289,4383,321
19093,3859,125,1603,532
19051,8501,235,3260,1692
19025,8550,122,4092,213
19145,15352,798,6835,855
19057,39866,2194,18423,771
19007,9511,437,4235,513
19157,19461,654,9220,464
19191,18381,757,8295,1071
19023,7963,108,3823,193
19087,17668,743,7407,2064
19053,6201,206,2881,137
19097,17033,495,8126,303
19001,4894,170,2213,344
19079,14916,370,6982,422
19095,12315,235,5704,653
19119,6273,145,3004,110
19043,12991,269,6004,669
19085,7289,391,3306,271
19117,7601,221,3425,441
19039,10393,386,4304,1387
19107,3385,65,1611,100
19165,12234,356,5834,173
19185,6559,199,2920,409
19115,8178,179,3219,1566
19121,14537,386,6945,182
19177,3044,71,1420,131
,10382,240,5210,1
19105,13908,404,6235,989
19129,12604,604,5898,171
19089,4794,204,2194,220
19071,3416,102,1608,98
