Age Group Public,RECIP_ID
0 - 11,39
12 - 15,123293
16 - 17,70887
18 - 19,77823
20 - 29,375586
30 - 39,410759
40 - 49,419292
50 - 59,503906
60 - 64,306502
65+,938267
