Age Group Public,RECIP_ID
0 - 11,17
12 - 15,109243
16 - 17,65908
18 - 19,73866
20 - 29,361135
30 - 39,397184
40 - 49,407661
50 - 59,493516
60 - 64,302191
65+,931630
