RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,512860,20085,239587,13601
19161,8117,192,3790,345
19027,19723,452,9120,1031
19013,123517,3886,57069,5493
19017,24100,680,11174,1072
19019,18105,478,8491,645
19103,177088,4649,83737,4965
19195,6121,159,2884,194
19033,42162,1335,19533,1761
19081,8285,181,3814,476
19169,100515,3516,47087,2825
19139,37939,1285,16234,4186
19165,11038,244,5280,234
19009,5335,83,2548,156
19191,20180,456,9412,900
19065,17233,502,8063,605
19061,102548,2282,49228,1810
19147,7342,189,3458,237
19183,19959,590,9322,725
19003,3136,82,1495,64
19173,4673,130,2233,77
19041,13649,376,6433,407
19125,26300,868,11640,2152
19123,14793,491,6737,828
19157,17617,494,8328,467
19099,33907,1025,15636,1610
19073,8019,251,3623,522
19113,239487,6901,111974,8638
19049,97481,3353,45830,2468
19193,82127,3595,36923,4686
19171,15989,538,7289,873
19109,12832,342,5960,570
19187,32449,1213,14908,1420
19011,23396,612,10935,914
19045,38733,1451,17900,1482
19067,13240,387,6140,573
19189,8604,243,3888,585
19131,8414,166,4015,218
19029,12171,335,5732,372
19135,5652,170,2575,332
19127,38231,1300,17109,2713
19063,7623,357,3476,314
19159,4195,103,2026,40
19115,8129,269,3400,1060
19163,146044,5236,67702,5404
19149,19555,601,8415,2124
19059,16665,497,7944,280
19093,5123,132,2287,417
19015,27422,818,12918,768
19141,11149,244,5185,535
19075,12130,399,5617,497
19091,7535,201,3477,380
19151,5619,138,2627,227
19055,14231,337,6522,850
19101,14008,525,6378,727
19005,10776,321,5112,231
19181,48540,1778,22679,1404
19025,9219,245,4311,352
19083,14557,358,6633,933
19069,8491,255,3926,384
19023,13739,357,6465,452
19133,7315,207,3432,244
19085,10877,402,5055,365
19137,8511,334,3822,533
19111,25263,769,11434,1626
19037,10040,252,4532,724
19197,11017,294,4899,925
19179,25501,837,11109,2446
19121,14085,444,6646,349
19143,4388,84,2040,224
19051,5285,179,2468,170
19047,13120,370,5705,1340
19145,12661,494,5812,543
19043,13611,272,6376,587
19057,30945,1350,14341,913
19007,9116,297,4196,427
19107,7499,195,3498,308
19077,10178,301,4764,349
19129,12017,433,5648,288
19021,16970,649,6650,3021
19087,15886,539,6864,1619
19079,14703,413,6802,686
19035,9685,268,4518,381
19001,5694,170,2598,328
19175,10090,347,4732,279
19095,16167,422,7516,713
19167,22263,558,9997,1711
19089,7255,204,3284,483
19119,6879,129,3284,182
19185,4300,126,1997,180
19039,7521,286,3255,725
19155,76516,2999,35661,2195
19117,6093,153,2762,416
19031,17902,465,8381,675
19071,5072,142,2366,198
19053,4951,174,2270,237
19177,4548,134,2093,228
19097,16830,404,8023,380
19105,19470,414,9000,1056
,91,8,39,5
