County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,72951,121441,6716,323639
Linn,32455,65523,6706,168952
Johnson,21058,54078,2757,132189
Scott,20288,46341,3925,117961
Black Hawk,16423,41313,4500,103827
Dubuque,15980,36801,1081,90570
Dallas,14754,18886,1467,53154
Story,12459,24833,924,62917
Woodbury,10442,26285,2748,65331
Pottawattamie,8912,27251,4293,68697
Cerro Gordo,5764,16314,1134,39504
Warren,5515,9384,474,24448
Webster,5251,9725,829,25587
Marshall,4410,6935,2509,20737
Clinton,4221,9399,1043,24108
Des Moines,4164,11846,536,28321
Muscatine,3891,7591,4098,23211
Carroll,3703,5189,768,14851
Jasper,3638,7841,495,19523
Marion,3550,7245,3677,21705
Poweshiek,3229,4771,138,12798
Wapello,2912,7460,436,18266
Bremer,2897,8219,952,20262
Lee,2873,7513,1152,19258
Boone,2778,6800,279,16591
Tama,2293,4567,940,12265
Washington,2271,3930,380,10510
Cass,2213,7554,228,17588
Sioux,2212,6664,2345,17894
Dickinson,2209,4725,115,11771
Madison,2198,4080,78,10426
Iowa,2192,3190,467,9035
Mahaska,2177,4401,249,11233
Fayette,2154,7191,809,17324
Greene,2111,2081,335,6564
Hamilton,1946,4270,325,10870
Henry,1912,4378,554,11245
Page,1872,4001,626,10504
Mills,1868,3249,85,8457
Plymouth,1844,4586,2778,13804
Jackson,1829,5208,122,12356
Humboldt,1814,2005,315,6165
Hardin,1732,3829,1143,10516
Winneshiek,1725,4857,514,11991
Buena Vista,1720,4208,3160,13375
Floyd,1686,3938,713,10262
Shelby,1667,3625,38,8971
Emmet,1652,3035,297,8099
Buchanan,1616,4053,190,9898
Jones,1557,3210,605,8620
Cedar,1532,4227,201,10159
Benton,1522,4707,356,11298
Union,1495,2840,114,7172
Crawford,1491,3893,1458,10741
Jefferson,1418,4800,754,11786
Clay,1412,6096,50,13616
Kossuth,1358,4047,376,9832
Clayton,1279,4549,570,10938
Winnebago,1250,2327,387,6301
Guthrie,1240,2620,176,6646
Grundy,1156,3082,200,7524
Lucas,1142,2049,306,5531
Calhoun,1078,2949,100,7083
Harrison,1077,2150,187,5561
Cherokee,1071,3172,170,7578
Allamakee,1062,4259,45,9607
O'Brien,1040,3743,225,8756
Wayne,1035,1897,332,5170
Appanoose,988,3014,374,7416
Delaware,956,3091,599,7723
Davis,947,2165,1578,6830
Montgomery,943,1946,499,5335
Wright,886,3375,1480,9094
Sac,820,2419,0,5660
Franklin,812,2451,175,5886
Monroe,806,2086,199,5172
Decatur,784,2017,105,4932
Clarke,777,2990,1249,7977
Butler,752,2946,65,6711
Louisa,728,2308,1493,6810
Mitchell,718,3351,0,7432
Chickasaw,684,1953,298,4882
Palo Alto,677,2412,82,5617
Lyon,661,2093,25,4868
Hancock,655,2041,552,5287
Howard,655,1284,87,3298
Pocahontas,537,1222,130,3109
Adams,478,1251,0,3046
Adair,467,1494,254,3708
Ringgold,457,1487,0,3455
Audubon,455,1453,96,3454
Monona,433,1373,105,3270
Van Buren,417,994,69,2473
Keokuk,394,1077,100,2648
Worth,393,1200,0,2789
Fremont,375,1145,72,2739
Osceola,332,1039,120,2530
Taylor,322,1773,0,3927
Ida,271,1183,361,3001
Out of State,256,4255,0,8404
