County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,70041,136772,6745,351167
Linn,30860,72840,6706,181928
Johnson,20977,57191,2758,138118
Scott,16566,51990,3925,125630
Black Hawk,14779,44960,4523,109514
Story,14382,27715,924,70435
Dallas,13434,22821,1467,59631
Dubuque,13328,41128,1109,96581
Woodbury,8490,29449,2763,69730
Pottawattamie,8119,30399,4293,74187
Warren,5479,10280,474,26165
Cerro Gordo,5128,17426,1139,41121
Marshall,4619,7173,2509,21422
Clinton,3902,10408,1045,25814
Jasper,3720,8505,495,20956
Muscatine,3642,8225,4099,24257
Webster,3632,12093,829,28790
Des Moines,3610,12670,539,29444
Marion,2807,8250,3677,23005
Poweshiek,2794,5382,138,13587
Boone,2699,7377,279,17642
Wapello,2634,8026,436,19147
Bremer,2570,8755,952,21011
Lee,2545,8251,1152,20426
Tama,2272,4778,940,12668
Carroll,2169,6823,768,16624
Iowa,2108,3310,467,9192
Sioux,2037,7084,2345,18563
Cass,2036,7746,228,17845
Page,1925,4507,627,11572
Henry,1899,4565,577,11653
Mahaska,1898,4894,249,11956
Madison,1895,4584,78,11134
Washington,1884,4521,380,11308
Jackson,1853,5573,122,13103
Jones,1830,3705,605,9883
Winneshiek,1798,5158,514,12675
Fayette,1737,7870,809,18269
Dickinson,1690,5335,115,12484
Emmet,1627,3109,297,8224
Hamilton,1565,4854,325,11679
Mills,1525,3651,85,8920
Floyd,1436,4367,713,10869
Buchanan,1429,4389,190,10382
Buena Vista,1412,4678,3160,14024
Plymouth,1405,5103,2778,14403
Hardin,1393,4261,1143,11051
Cedar,1367,4446,201,10436
Union,1324,3126,114,7565
Shelby,1285,4069,38,9495
Greene,1259,2977,335,7526
Benton,1232,5025,357,11646
Crawford,1218,4270,1458,11226
Jefferson,1154,5308,754,12529
Guthrie,1139,2817,176,6939
Kossuth,1128,4362,376,10239
Clayton,1084,4795,576,11250
Clay,1034,6600,50,14248
Delaware,954,3154,599,7852
Harrison,944,2379,187,5886
Lucas,935,2253,306,5762
Winnebago,919,2718,387,6759
Grundy,902,3406,200,7920
Cherokee,854,3471,169,7964
Clarke,831,3016,1249,8080
O'Brien,824,4021,225,9098
Butler,820,2953,65,6795
Calhoun,819,3259,100,7447
Allamakee,803,4606,45,10031
Wright,754,3600,1481,9415
Montgomery,744,2191,499,5643
Wayne,712,2231,332,5538
Appanoose,685,3353,374,7813
Sac,655,2605,0,5872
Louisa,649,2427,1493,6964
Monroe,646,2285,199,5414
Lyon,646,2202,25,5071
Davis,645,2478,1578,7170
Chickasaw,625,2060,298,5038
Hancock,601,2205,552,5561
Humboldt,579,3229,315,7437
Decatur,551,2259,105,5201
Palo Alto,526,2599,82,5840
Mitchell,518,3609,0,7749
Franklin,509,2802,175,6286
Howard,507,1491,87,3564
Pocahontas,470,1346,130,3294
Monona,394,1477,105,3439
Ringgold,376,1586,0,3575
Adair,370,1698,255,3979
Worth,357,1292,0,2937
Van Buren,336,1092,69,2588
Keokuk,324,1178,100,2780
Audubon,322,1599,96,3613
Fremont,305,1239,73,2859
Adams,291,1390,0,3200
Osceola,264,1153,120,2690
Taylor,258,1895,0,4069
Out of State,257,4255,0,8418
Ida,211,1281,361,3137
