ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19193,78595,4790,35096,4020
19113,203370,20822,88427,7034
,8440,250,4254,0
19061,107230,6275,49868,1403
19049,68115,9581,29082,1575
19165,10653,414,5062,63
19153,400238,55505,168399,7746
19013,119808,8389,53113,4905
19157,15822,1262,7216,187
19103,154824,14071,68967,3189
19005,10561,583,4963,58
19029,19508,640,9196,284
19163,138847,10487,61371,4340
19045,27951,3021,11872,1104
19127,23629,3486,8845,2520
19155,79215,7153,33371,4360
19169,79683,12713,33030,1768
19097,14376,925,6658,146
19073,8433,463,3749,408
19081,5991,388,2513,576
19109,11064,579,5030,380
19033,44460,3247,19952,1252
19173,4162,204,1964,0
19057,31985,2447,14472,579
19043,12047,478,5470,603
19183,12594,1201,5488,403
19099,23242,2657,10115,562
19181,29523,3349,12897,613
19025,7856,525,3592,130
19187,30549,2575,13421,910
19055,8671,625,3704,653
19101,13382,1001,5785,803
19053,5529,285,2529,105
19111,21927,1643,9390,1243
19135,5900,258,2702,212
19129,9859,796,4476,97
19065,19402,965,8788,838
19191,14023,1314,5978,723
19185,6016,288,2653,338
19159,3861,201,1812,1
19145,12573,1267,5329,627
19131,8145,416,3817,82
19059,13840,730,6473,151
19139,26693,2567,9931,4147
19197,9970,464,4004,1520
19087,13545,1493,5444,1115
19167,20068,1206,8218,2413
19123,13177,1186,5822,302
19125,24969,1544,9773,3754
19137,6285,434,2655,515
19069,6557,318,3023,187
19079,12410,1056,5447,340
19149,15500,517,6071,2805
19083,12134,624,5137,1192
19121,12252,1111,5508,110
19179,21013,1728,9368,451
19023,7350,450,3390,113
19175,8524,669,3906,159
19039,8661,489,3439,1300
19147,6282,265,2941,99
19067,11829,873,5085,777
19031,11390,662,5263,224
19063,9353,706,4119,309
19195,3116,227,1446,0
19095,10828,603,4867,484
19091,7759,363,3468,324
19105,10668,1508,4250,612
19047,12161,561,5054,1467
19141,9641,485,4450,245
19015,19438,1703,8733,340
19171,14310,1472,5984,944
19143,2889,136,1312,129
19017,22559,1679,9959,990
19037,5456,297,2433,298
19051,7657,244,2892,1607
19177,2816,171,1280,84
19021,14773,1078,5219,3161
19035,8621,449,3989,189
19071,3098,133,1445,73
19027,17773,1411,7702,859
19161,6284,308,2967,28
19077,7764,624,3481,174
19041,14994,627,7157,94
19107,3014,171,1371,100
19089,3843,331,1710,106
19019,11445,528,5352,214
19011,13825,892,6277,377
19075,8451,614,3803,225
19151,3510,265,1556,130
19007,8297,439,3678,420
19117,6332,516,2714,328
19189,7387,427,3266,406
19133,3742,360,1645,105
19093,3390,177,1381,452
19085,6435,600,2814,202
19003,3352,153,1522,1
19115,7416,321,2813,1493
19009,3854,126,1815,101
19001,4288,222,1922,285
19119,5597,359,2608,27
