RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19163,94791,16910,37262,3353
19153,283643,73882,101091,7619
19113,146281,31176,54418,6275
19169,56424,14929,20055,1389
19179,17202,3065,6135,1866
19139,24712,4760,8416,3121
19193,54079,11007,20105,2861
19013,82283,14321,32030,3901
19111,17332,2868,6807,847
19067,9248,1626,3691,240
19099,20520,4256,7734,797
19141,8534,1186,3477,392
19167,16351,2546,6221,1365
19133,5662,638,2446,131
19033,29241,4485,11857,1041
19037,7600,942,3065,530
19143,3247,514,1299,136
19077,7064,1199,2825,216
19083,10654,1602,4186,678
19021,11778,1664,3781,2554
19147,5582,850,2297,138
19045,24880,5034,9446,953
19103,115445,23384,44320,3425
19165,8007,1710,3083,139
19003,2362,396,968,28
19049,54467,15275,18833,1535
19177,3150,574,1227,122
19061,71024,15185,27413,1014
19187,21888,4107,8464,853
19079,9946,1748,3838,520
19041,9707,1993,3746,223
19155,48234,7684,19434,1682
19087,10004,1612,4011,368
19043,11037,1221,4683,448
19137,6201,887,2445,425
19115,5744,800,2027,887
19181,29400,6502,11105,682
19015,17549,3140,7014,387
19001,4158,612,1671,208
19175,7026,1387,2764,111
19031,12322,2244,4801,477
19191,13290,2952,4889,559
19075,8758,1391,3546,278
19127,22860,4977,7879,2126
19171,11437,1829,4467,680
19129,7952,1574,3091,198
19029,9339,1153,3982,220
19017,17469,2734,6963,810
19007,6910,942,2838,290
19019,12847,2261,5082,422
19157,11473,2583,4314,260
19101,8960,1958,3246,510
19051,3886,659,1573,81
19089,5092,876,1950,316
19085,7741,1401,3038,266
19131,6662,405,3103,51
19125,18204,2917,6760,1765
19055,10023,1817,3806,593
19159,3158,479,1327,25
19185,3365,442,1398,127
19027,14199,2858,5292,758
19091,5563,1059,2108,288
19039,5332,607,2069,588
19063,5972,848,2447,229
19097,11921,2120,4789,223
19151,3946,713,1535,163
19145,9077,1459,3624,371
19073,5659,936,2193,338
19005,8425,906,3703,115
19057,21776,2925,9142,572
19149,14591,2155,5307,1823
19023,10181,1376,4270,265
19047,9250,1553,3279,1141
19095,11511,2154,4438,480
19081,6107,773,2514,307
19109,9739,1302,4021,399
19161,6336,946,2580,229
19121,9116,1941,3498,179
19011,15755,2588,6236,695
19009,4046,567,1687,105
19025,6665,877,2795,196
19119,5307,881,2154,117
19173,3719,423,1631,36
19059,12283,2478,4833,143
19105,12486,2252,4765,703
19035,7206,1324,2800,282
19135,4191,605,1681,224
19197,7892,1271,2943,730
19183,13486,2463,5277,471
19117,4298,712,1653,280
19069,6073,1062,2380,253
19123,10152,1911,3850,541
,227,57,62,45
19093,3804,466,1534,267
19071,3767,647,1487,145
19053,3689,558,1479,169
19107,5385,797,2187,214
19065,13321,1689,5604,425
19195,4393,692,1792,118
19189,6168,1142,2290,444
