Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.15650644783118407,American Indian or Alaska Native
Asian,0.3497069627551445,Asian
Black,0.1785644588423559,Black
Native Hawaiian or Other Pacific Islander,0.31702747710241466,Native Hawaiian or Other Pacific Islander
Other Race,0.48462085231494947,Other Race
White,0.4010755207968997,White
