RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,508920,19081,238241,13356
19161,8060,164,3777,342
19027,19618,419,9090,1019
19013,122695,3696,56770,5458
19017,23952,624,11134,1060
19019,17977,434,8452,639
19103,176364,4517,83453,4939
19195,6074,129,2877,191
19033,41839,1209,19444,1742
19081,8220,154,3800,466
19169,100046,3402,46928,2789
19139,37593,1219,16160,4054
19165,10982,233,5259,231
19009,5321,79,2544,154
19191,20100,429,9387,897
19065,17142,475,8035,597
19061,102037,2049,49095,1798
19147,7308,184,3445,234
19183,19810,560,9268,714
19003,3110,78,1485,62
19173,4648,111,2230,77
19041,13578,359,6406,407
19125,26064,773,11572,2146
19123,14691,459,6710,811
19157,17530,468,8299,464
19099,33649,929,15563,1595
19073,7968,226,3612,518
19113,237899,6428,111463,8545
19049,96725,3119,45593,2419
19193,81274,3294,36667,4647
19171,15859,497,7255,852
19109,12753,334,5926,566
19187,32187,1126,14829,1403
19011,23206,578,10860,908
19045,38404,1369,17781,1473
19067,13128,337,6117,557
19189,8552,224,3873,582
19131,8361,154,3997,213
19029,12063,315,5693,362
19135,5608,152,2566,325
19127,37930,1207,17018,2689
19063,7600,356,3466,313
19159,4161,91,2015,40
19115,8031,251,3364,1052
19163,144869,4935,67308,5318
19149,19419,549,8377,2117
19059,16544,452,7907,278
19093,5095,118,2282,413
19015,27229,737,12867,759
19141,11104,234,5170,530
19075,12060,370,5599,492
19091,7486,188,3463,372
19151,5586,117,2623,223
19055,14158,308,6502,846
19101,13895,501,6338,718
19005,10727,302,5097,231
19181,48113,1601,22570,1373
19025,9169,212,4303,351
19083,14486,318,6620,928
19069,8410,224,3904,378
19023,13650,311,6447,445
19133,7235,167,3414,240
19085,10817,384,5035,363
19137,8454,311,3806,530
19111,24984,682,11363,1576
19037,9949,217,4513,706
19197,10953,291,4873,917
19179,25245,736,11047,2414
19121,13991,410,6620,341
19143,4374,82,2035,222
19051,5228,164,2451,162
19047,12994,338,5667,1322
19145,12575,469,5784,538
19043,13562,247,6365,585
19057,30680,1258,14261,900
19007,9049,263,4181,424
19107,7444,168,3486,304
19077,10106,280,4741,344
19129,11925,402,5620,283
19021,16827,589,6614,3010
19087,15769,492,6834,1609
19079,14600,362,6779,680
19035,9618,235,4504,375
19001,5658,161,2587,323
19095,16090,406,7488,708
19167,22103,515,9946,1696
19089,7191,169,3274,474
19119,6855,119,3280,176
19185,4262,115,1986,175
19039,7429,256,3230,712
19155,75823,2746,35455,2166
19117,6052,148,2746,412
19031,17795,432,8346,671
19175,10030,321,4718,273
19071,5052,140,2357,198
19053,4905,155,2258,234
19177,4506,130,2079,218
19097,16733,361,7997,378
19105,19352,393,8958,1043
,88,7,38,5
