County,Number of Doses
Polk,584730
Linn,267522
Johnson,192027
Scott,168194
Black Hawk,141362
Dubuque,112473
Story,111022
Dallas,110511
Woodbury,96385
Pottawattamie,89333
Warren,55088
Cerro Gordo,47901
Marshall,44296
Clinton,43957
Muscatine,43415
Jasper,38870
Webster,36777
Des Moines,36104
Marion,30567
Boone,30520
Wapello,29732
Lee,29127
Bremer,26976
Benton,26552
Sioux,25540
Plymouth,22580
Washington,22364
Winneshiek,22352
Carroll,21899
Jones,21631
Buena Vista,21402
Buchanan,20772
Cedar,20019
Poweshiek,19912
Fayette,19559
Jackson,18923
Dickinson,18569
Henry,18405
Tama,18341
Iowa,18272
Mahaska,17219
Hardin,16589
Hamilton,16534
Delaware,16453
Madison,15985
Jefferson,15796
Clay,15584
Butler,15328
Crawford,15312
Floyd,15062
Clayton,14864
Page,14433
Kossuth,14069
Grundy,13722
Mills,13659
Cass,13502
O'Brien,12526
Wright,12477
Allamakee,12399
Harrison,12308
Shelby,12272
Union,11450
Chickasaw,11428
Guthrie,11362
Cherokee,10982
Appanoose,10439
Calhoun,10373
Montgomery,9807
Franklin,9766
Winnebago,9649
Louisa,9610
Mitchell,9595
Hancock,9400
Sac,9295
Greene,9198
Clarke,8753
Emmet,8613
Humboldt,8539
Keokuk,8535
Howard,8315
Palo Alto,8215
Monona,8175
Lyon,7667
Worth,7035
Lucas,6943
Pocahontas,6398
Adair,6363
Monroe,6295
Ida,5928
Davis,5926
Audubon,5883
Decatur,5690
Fremont,5613
Van Buren,5344
Taylor,5215
Wayne,4902
Osceola,4811
Ringgold,4754
Adams,3552
.,96
