Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.16506447831184058,American Indian or Alaska Native
Asian,0.36606474161604399,Asian
Black,0.19047656219507437,Black
Native Hawaiian or Other Pacific Islander,0.3343047460449625,Native Hawaiian or Other Pacific Islander
Other Race,0.5083357565183677,Other Race
White,0.4107324733830463,White
