RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,268009,253073,14936
19059,8588,8270,318
19161,4338,3949,389
19027,10616,9511,1105
19013,65859,60105,5754
19017,12844,11719,1125
19019,9676,8995,681
19103,91588,86266,5322
19195,3241,3041,200
19033,22468,20594,1874
19081,4488,3983,505
19169,52007,48906,3101
19139,21434,17106,4328
19165,5751,5488,263
19009,2800,2635,165
19191,10679,9749,930
19065,9086,8453,633
19061,53065,51127,1938
19147,3840,3585,255
19183,10488,9720,768
19003,1633,1559,74
19173,2421,2336,85
19041,7133,6717,416
19125,14603,12318,2285
19123,8021,7152,869
19157,9169,8664,505
19099,18086,16387,1699
19073,4348,3798,550
19113,126438,117255,9183
19049,50965,48238,2727
19193,44294,39540,4754
19171,8584,7678,906
19109,6772,6169,603
19187,17267,15740,1527
19011,12461,11492,969
19141,5952,5369,583
19045,20453,18862,1591
19067,7132,6510,622
19189,4671,4070,601
19131,4428,4190,238
19029,6387,5983,404
19135,3044,2681,363
19127,20928,17992,2936
19063,3953,3618,335
19159,2159,2112,47
19163,77024,71271,5753
19115,4749,3628,1121
19149,11017,8872,2145
19093,2836,2394,442
19015,14381,13530,851
19075,6497,5931,566
19091,4069,3668,401
19151,3001,2747,254
19055,7791,6897,894
19101,7431,6673,758
19005,5645,5403,242
19181,25476,23907,1569
19025,4905,4509,396
19083,7954,6938,1016
19069,4545,4131,414
19023,7239,6746,493
19133,3836,3562,274
19085,5698,5314,384
19137,4616,4067,549
19111,13864,12085,1779
19037,5517,4751,766
19197,6151,5162,989
19179,14292,11783,2509
19121,7396,7002,394
19095,8683,7918,765
19143,2344,2101,243
19051,2789,2601,188
19047,7442,6059,1383
19155,40364,38083,2281
19145,6666,6114,552
19043,7181,6582,599
19057,16377,15368,1009
19007,4853,4388,465
19107,3992,3664,328
19077,5374,4985,389
19129,6342,6028,314
19021,10452,7177,3275
19087,9045,7300,1745
19053,2649,2388,261
19097,8848,8425,423
19079,7873,7143,730
19035,5128,4720,408
19001,3032,2690,342
19175,5290,4981,309
19167,12233,10448,1785
19089,3962,3443,519
19119,3602,3379,223
19185,2275,2075,200
19039,4244,3495,749
19105,10481,9361,1120
19117,3316,2879,437
19031,9520,8804,716
19071,2674,2472,202
19177,2452,2194,258
,35,31,4
