ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19133,1679,1574,105
19067,5765,4998,767
19061,50134,48761,1373
,4254,4254,0
19175,3906,3758,148
19149,8614,5818,2796
19109,5311,4931,380
19153,168546,161028,7518
19013,56155,51316,4839
19191,6475,5793,682
19105,4723,4118,605
19181,13073,12493,580
19039,4665,3373,1292
19187,13961,13091,870
19089,1788,1701,87
19103,70421,67319,3102
19125,13243,9498,3745
19033,20742,19495,1247
19193,38623,34694,3929
19065,9596,8763,833
19113,91973,84992,6981
19163,64205,60009,4196
19047,6393,4927,1466
19057,14669,14094,575
19049,29513,27992,1521
19159,1749,1748,1
19141,4660,4420,240
19155,37354,33033,4321
19135,2850,2651,199
19167,10279,7918,2361
19169,32815,31181,1634
19021,8297,5137,3160
19077,3611,3437,174
19183,5562,5159,403
19045,12717,11618,1099
19083,6245,5057,1188
19035,4058,3876,182
19097,6387,6245,142
19055,4324,3678,646
19031,5324,5102,222
19189,3603,3200,403
19007,4016,3605,411
19099,10304,9749,555
19091,3777,3456,321
19073,4064,3663,401
19145,5879,5252,627
19161,2816,2816,0
19111,10347,9123,1224
19025,3586,3456,130
19179,9652,9205,447
19095,4605,4121,484
19139,13465,9358,4107
19019,5154,4945,209
19041,7170,7088,82
19037,2731,2433,298
19197,5401,3886,1515
19173,1951,1951,0
19129,4296,4204,92
19015,8835,8500,335
19101,6425,5671,754
19147,2929,2840,89
19063,4380,4082,298
19171,6719,5775,944
19127,11205,8685,2520
19081,3089,2513,576
19123,5744,5456,288
19151,1567,1437,130
19107,1374,1274,100
19043,5927,5333,594
19119,2538,2512,26
19115,4294,2801,1493
19029,9087,8821,266
19195,1383,1383,0
19005,4982,4929,53
19023,3458,3345,113
19079,5683,5344,339
19157,7224,7038,186
19011,6417,6050,367
19121,5386,5276,110
19131,3880,3816,64
19075,3985,3769,216
19001,2165,1880,285
19143,1375,1250,125
19027,8282,7439,843
19085,2775,2588,187
19017,10693,9717,976
19177,1333,1254,79
19051,4460,2854,1606
19059,6366,6219,147
19137,3057,2544,513
19117,2976,2650,326
19087,6511,5413,1098
19069,3158,2971,187
19185,2939,2601,338
19165,4850,4789,61
19009,1906,1805,101
19071,1510,1437,73
19053,2589,2484,105
19093,1797,1371,426
19003,1497,1496,1
