Age Group Public,RECIP_ID
0 - 11,39
12 - 15,122322
16 - 17,70492
18 - 19,77493
20 - 29,374296
30 - 39,409460
40 - 49,418301
50 - 59,503065
60 - 64,306165
65+,937704
