RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,510816,19504,238928,13457
19161,8097,181,3786,344
19027,19664,431,9106,1021
19013,123040,3752,56909,5470
19017,24013,638,11155,1065
19019,18027,448,8469,641
19103,176697,4569,83587,4948
19195,6101,146,2881,193
19033,41975,1269,19478,1750
19081,8240,163,3805,467
19169,100251,3457,46997,2802
19139,37712,1238,16202,4070
19165,11005,237,5268,232
19009,5329,78,2548,155
19191,20135,434,9401,899
19065,17195,477,8058,602
19061,102253,2120,49165,1803
19147,7324,188,3451,234
19183,19873,562,9296,719
19003,3124,82,1490,62
19173,4658,118,2231,77
19041,13613,366,6420,407
19125,26201,825,11614,2147
19123,14732,463,6724,818
19157,17570,475,8314,467
19099,33773,965,15605,1601
19073,7987,238,3614,521
19113,238568,6598,111695,8581
19049,97096,3230,45710,2445
19193,81602,3392,36774,4663
19171,15906,512,7271,852
19109,12786,325,5947,566
19187,32322,1168,14872,1411
19011,23269,591,10883,911
19045,38566,1410,17839,1478
19067,13182,355,6131,565
19189,8585,238,3881,585
19131,8381,160,4003,215
19029,12114,326,5712,364
19135,5629,162,2571,326
19127,38045,1218,17068,2694
19063,7613,360,3470,314
19159,4177,95,2021,40
19115,8076,260,3381,1057
19163,145419,5032,67524,5339
19149,19471,554,8398,2122
19059,16595,459,7929,278
19093,5106,121,2286,413
19015,27323,777,12892,762
19141,11125,241,5176,532
19075,12093,385,5606,496
19091,7505,199,3465,376
19151,5599,124,2625,225
19055,14182,322,6507,846
19101,13948,499,6365,719
19005,10737,308,5099,231
19181,48337,1682,22636,1385
19025,9193,226,4308,351
19083,14532,345,6627,932
19069,8441,239,3912,378
19023,13688,322,6459,448
19133,7268,188,3419,241
19085,10851,388,5050,363
19137,8479,321,3814,530
19111,25120,729,11393,1603
19037,9998,241,4522,713
19197,10972,285,4885,918
19179,25349,782,11076,2415
19121,14031,410,6638,346
19143,4381,86,2036,223
19051,5253,168,2460,165
19047,13059,352,5691,1325
19145,12612,472,5801,539
19043,13573,252,6368,585
19057,30825,1299,14310,907
19007,9089,286,4188,427
19107,7464,173,3493,305
19077,10135,285,4753,344
19129,11958,415,5628,287
19021,16886,608,6633,3012
19087,15834,518,6851,1614
19079,14647,391,6787,682
19035,9650,249,4511,380
19001,5671,160,2593,325
19095,16118,419,7494,710
19167,22165,533,9963,1706
19089,7197,170,3275,477
19119,6865,123,3282,178
19185,4285,125,1991,178
19039,7460,259,3242,716
19155,76115,2843,35548,2174
19117,6080,150,2758,415
19031,17846,450,8362,672
19175,10060,331,4725,279
19071,5057,137,2361,198
19053,4920,157,2264,235
19177,4513,128,2083,219
19097,16766,368,8010,378
19105,19400,399,8975,1050
,88,7,38,5
