County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,27844,263742,15670,570618
Linn,9548,125890,9699,269796
Scott,8484,82726,6857,182007
Johnson,7112,92300,4683,195993
Black Hawk,6245,69866,6421,152613
Woodbury,5644,45634,5077,101561
Pottawattamie,5289,46317,5018,103867
Story,5125,50572,3296,108730
Dallas,4587,46002,2820,98068
Dubuque,4136,61669,2444,129734
Cerro Gordo,2543,25897,2140,56630
Des Moines,2157,18942,803,40905
Clinton,1823,17374,1735,38392
Webster,1806,17815,1435,39105
Muscatine,1598,14484,5307,35988
Warren,1526,17493,1165,37511
Marshall,1481,14523,3258,33644
Buena Vista,1266,7516,3870,20266
Lee,1214,12633,2227,28936
Wapello,1209,12626,1059,27645
Marion,1077,12514,4187,30446
Jasper,1029,14357,1223,30759
Bremer,964,12820,1500,28096
Sioux,937,10354,2788,24440
Winneshiek,800,8494,1071,18822
Jefferson,794,7646,1003,17082
Page,760,7011,857,15669
Boone,727,11585,618,24446
Carroll,724,10065,1290,22319
Henry,720,7634,2134,18162
Washington,705,7514,598,16348
Poweshiek,698,9365,487,19823
Clay,695,8436,314,17824
Mahaska,695,7743,589,16821
Fayette,662,10277,960,22178
Plymouth,640,7348,2995,18366
Dickinson,624,7883,292,16688
Tama,622,8352,985,18403
Crawford,594,6368,1609,14969
Mills,593,6288,184,13378
Cass,584,10364,473,22023
Emmet,579,4720,425,10575
Benton,515,7723,492,16452
Buchanan,507,6551,383,13985
Union,476,5093,356,10924
Jackson,476,8304,303,17365
Floyd,471,6615,1233,14884
Appanoose,449,4327,520,9712
Grundy,442,4747,515,10451
Delaware,426,4858,822,10930
Hardin,419,6340,1351,14526
Montgomery,409,3410,606,7864
Allamakee,400,5796,129,12139
Kossuth,397,6080,534,13128
Jones,391,6376,993,14180
Cherokee,383,4812,374,10387
Hamilton,378,7097,433,15166
Harrison,369,3376,273,7411
O'Brien,364,5410,425,11610
Clarke,362,4427,1388,10616
Wright,349,5036,1829,12227
Madison,345,7057,193,14732
Shelby,337,5947,197,12463
Winnebago,298,4078,513,8981
Humboldt,288,4039,436,8961
Clayton,282,6047,668,13085
Cedar,281,6364,304,13281
Howard,273,2233,246,4967
Greene,269,4493,525,9850
Guthrie,235,4475,327,9537
Mitchell,232,4532,196,9518
Out of State,231,5330,1,10618
Iowa,229,5768,663,12450
Decatur,224,2921,138,6297
Lucas,222,3472,443,7699
Wayne,217,2947,414,6635
Franklin,216,3567,287,7647
Palo Alto,215,3394,179,7207
Davis,214,3338,1700,8641
Monroe,177,3275,378,7137
Louisa,172,3257,1584,8265
Lyon,168,3034,128,6374
Adair,156,2250,344,4952
Monona,154,2193,234,4758
Sac,143,3244,76,6730
Hancock,138,3059,749,7006
Chickasaw,136,2864,362,6216
Calhoun,136,4122,228,8639
Ida,132,1621,543,3913
Taylor,108,2269,39,4713
Ringgold,106,2167,6,4502
Butler,102,3840,193,7991
Pocahontas,101,1946,182,4182
Fremont,94,1628,98,3448
Adams,84,1677,22,3652
Van Buren,80,1430,149,3093
Worth,66,1772,1,3608
Keokuk,56,1629,100,3414
Audubon,53,2054,101,4260
Osceola,45,1540,204,3329
