RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19163,0.4024100426151969,64518,5076
19175,0.3953925332897639,4589,251
19085,0.376610434906399,4940,351
19169,0.4969881689096657,45619,2647
19189,0.42012748696156079,3781,569
19167,0.32540525032276576,9715,1627
19123,0.32830957230142568,6487,767
19031,0.47125140924464489,8121,657
19153,0.4888434616381148,227168,12444
19061,0.5115660100091459,48096,1685
19049,0.4898612136582025,43493,2286
19083,0.4392734180220824,6502,898
19027,0.4911480287627077,8911,993
19055,0.42184468873082128,6350,826
19179,0.3694129085761675,10628,2290
19127,0.4770758718788895,16326,2456
19161,0.41775537496142375,3728,333
19013,0.45637363977199987,54637,5252
19017,0.4705929295347538,10769,1025
19019,0.4126564344746163,8135,603
19195,0.4021135347513887,2795,173
19033,0.4820965842167256,18854,1611
19081,0.3909689557855127,3712,444
19139,0.4545518469904369,15616,3777
19053,0.30838627700127066,2204,223
19165,0.46891915488039118,5153,218
19009,0.4798034934497817,2489,148
19191,0.4995247861537692,9127,859
19103,0.5684530898504697,81287,4629
19155,0.38514687895629037,33817,2081
19181,0.4485679866319512,21833,1253
19075,0.4891268803139307,5522,461
19065,0.42865139949109418,7869,554
19147,0.403893765473779,3370,219
19099,0.445179507866075,15006,1548
19183,0.44133849305713637,9015,679
19193,0.3849496154480297,35243,4448
19003,0.4167129372570794,1445,56
19173,0.36578990361052118,2169,70
19041,0.41446053946053948,6264,374
19095,0.4911641127039051,7287,662
19125,0.3997834781824196,11191,2103
19157,0.4591980112408128,8056,441
19073,0.4512826282628263,3506,505
19113,0.5112348151350207,107808,8092
19079,0.4913016990455561,6597,661
19171,0.46534947193544559,7059,784
19109,0.42341186795382437,5737,535
19187,0.4388647504456328,14443,1314
19089,0.39506442454684428,3181,437
19015,0.500838606388656,12426,713
19011,0.4454279586664067,10547,876
19117,0.3558139534883721,2682,378
19045,0.3969932585237675,17055,1377
19149,0.40453588592763237,8130,2055
19067,0.4114563355069684,5953,483
19131,0.3859814849801625,3898,188
19029,0.46151449049548146,5574,350
19135,0.3643441027637213,2500,308
19063,0.40204170286707216,3392,310
19159,0.4123416428279526,1980,38
19115,0.387313094698686,3261,1013
19059,0.4636110789199212,7743,258
19093,0.3793002915451895,2206,396
19141,0.40478441067403478,5062,505
19091,0.39098137685708309,3389,348
19151,0.41154252908294305,2516,208
19101,0.3719595517901066,6106,699
19005,0.3810184846935048,4999,216
19025,0.4714522134877948,4228,330
19069,0.41549155908639526,3822,362
19023,0.46422882471085255,6289,414
19133,0.4183401044689495,3388,216
19137,0.42613693657356058,3706,520
19111,0.3686305969040616,10919,1488
19197,0.45096322241681266,4772,893
19121,0.4129636430407639,6435,312
19143,0.3690835850956697,1999,200
19051,0.2793333333333333,2361,153
19047,0.40279429250891798,5475,1300
19145,0.40650029787515726,5638,503
19043,0.38930993218986839,6273,559
19097,0.42147229795771387,7830,363
19107,0.3606285379660355,3406,289
19057,0.37331588266995149,13696,851
19185,0.3187393261915852,1888,165
19039,0.40351250665247476,3098,693
19087,0.4089906785606896,6630,1531
19035,0.42563417890520696,4428,354
19077,0.4590700720366732,4583,324
19021,0.4707441386340469,6297,2939
19105,0.4716889898941057,8752,1003
19007,0.36117817479478517,4080,408
19037,0.42621302271013158,4414,672
19129,0.3793103448275862,5458,273
19119,0.28881327094853256,3233,162
19071,0.36149425287356326,2319,197
19001,0.39848993288590608,2534,316
19177,0.3161555934128336,2033,194
,,39,6
