County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,590105,58699,48666,562,501,61
Linn,253021,20736,18570,317,285,32
Black Hawk,188000,16329,14273,294,274,20
Johnson,184014,13925,12571,75,70,5
Scott,181076,18425,16330,213,197,16
Dubuque,163248,13617,11799,196,183,13
Story,141662,10332,9127,45,39,6
Woodbury,125457,15073,13209,214,198,16
Dallas,111653,11468,9504,93,82,11
Pottawattamie,104632,10880,9347,146,130,16
Marshall,71707,5003,4418,73,65,8
Cerro Gordo,67845,5373,4813,83,70,13
Warren,65123,5611,4809,76,71,5
Webster,61239,5218,4735,88,74,14
Clinton,54117,5465,4715,84,74,10
Des Moines,48518,4606,4047,61,53,8
Lee,47553,3764,3392,53,40,13
Muscatine,46860,4563,3958,93,84,9
Jasper,44214,4199,3453,67,62,5
Wapello,40554,4391,3637,110,106,4
Buena Vista,40297,4760,3989,37,34,3
Boone,38859,2624,2298,30,28,2
Sioux,37819,4968,4598,69,66,3
Washington,35948,2550,2275,47,43,4
Marion,35880,3612,3207,72,62,10
Poweshiek,35695,1550,1416,30,28,2
Plymouth,33508,3971,3519,78,70,8
Bremer,33201,2833,2525,55,47,8
Winneshiek,32057,1906,1671,29,25,4
Benton,32029,2560,2175,54,44,10
Henry,32016,2939,2702,37,36,1
Carroll,31958,2870,2567,48,41,7
Fayette,30552,1868,1693,35,32,3
Hardin,29942,1825,1600,39,33,6
Tama,28760,2150,1896,65,63,2
Mahaska,26779,2258,2037,46,41,5
Cedar,26538,1802,1583,23,21,2
Buchanan,26371,1870,1657,29,25,4
Iowa,25801,1465,1320,23,21,2
Clay,25721,1945,1764,25,20,5
Butler,25674,1680,1521,31,28,3
Crawford,24037,2767,2391,35,31,4
Delaware,23613,1903,1779,40,35,5
Jones,22564,2947,2759,55,51,4
Jackson,22535,2224,1995,39,36,3
Dickinson,22504,2201,1894,40,34,6
Floyd,22401,1639,1406,41,31,10
O'Brien,22354,1975,1700,58,54,4
Kossuth,22323,2095,1852,55,49,6
Clayton,21584,1682,1530,54,46,8
Hamilton,21019,1923,1638,42,41,1
Mills,19262,1637,1415,20,17,3
Wright,18883,1808,1675,31,26,5
Hancock,18754,1475,1325,30,25,5
Allamakee,18529,1496,1308,48,39,9
Cass,18306,1365,1161,51,46,5
Harrison,18299,1800,1566,70,66,4
Page,17975,1841,1717,19,18,1
Jefferson,17965,1393,1236,34,28,6
Cherokee,17829,1559,1384,36,29,7
Franklin,17622,1192,1054,19,18,1
Madison,17570,1567,1336,18,14,4
Sac,17154,1257,1138,18,18,0
Grundy,16949,1398,1234,30,25,5
Calhoun,16182,1343,1247,11,11,0
Palo Alto,15912,1063,942,21,19,2
Monona,15907,819,720,27,26,1
Guthrie,15688,1174,1041,28,23,5
Appanoose,15681,1394,1128,47,43,4
Mitchell,15494,1316,1153,40,38,2
Chickasaw,15433,1262,1150,15,13,2
Winnebago,15341,1394,1231,31,26,5
Louisa,15182,1285,1148,44,37,7
Union,15110,1271,1133,31,26,5
Howard,14737,1036,921,22,18,4
Emmet,14495,1221,1085,40,38,2
Shelby,14402,1231,1083,34,31,3
Humboldt,13659,1184,1075,25,22,3
Keokuk,13643,991,864,29,29,0
Lyon,13214,1462,1380,41,37,4
Greene,13159,777,709,10,10,0
Pending Investigation,12811,998,840,0,0,0
Montgomery,12558,1043,912,36,34,2
Clarke,11896,1009,864,20,20,0
Pocahontas,11522,854,783,19,19,0
Adair,11014,928,696,30,22,8
Worth,11007,705,632,8,7,1
Ida,10510,924,763,32,30,2
Audubon,10391,493,434,9,8,1
Davis,9494,836,712,23,22,1
Decatur,8979,585,524,9,9,0
Ringgold,8730,525,470,20,17,3
Monroe,8529,940,834,28,21,7
Lucas,8165,751,666,21,17,4
Van Buren,7432,563,512,18,15,3
Taylor,7405,666,620,12,10,2
Osceola,7146,708,644,15,13,2
Fremont,6491,593,536,9,7,2
Wayne,5307,510,411,21,17,4
Adams,4741,327,311,4,4,0
