RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19179,0.3670393777345649,10571,2264
19013,0.45244917243271257,54164,5210
19029,0.4590994079152384,5549,344
19167,0.32354038158083489,9658,1619
19153,0.48275566599545868,224367,12261
19113,0.5066076769031256,106875,7976
19033,0.4785630153121319,18737,1578
19055,0.41908177061901127,6311,818
19155,0.3810162435894685,33454,2059
19169,0.49289001925512529,45246,2622
19045,0.3922333024618234,16851,1360
19043,0.3876004330731096,6244,558
19163,0.3989927317092915,64007,4996
19099,0.4411456232351755,14879,1525
19061,0.508328965892859,47811,1655
19103,0.5634841868466323,80567,4598
19193,0.3813611103028892,34918,4403
19011,0.44199649054396569,10466,869
19161,0.41538936323423517,3706,332
19049,0.48460723572276978,43021,2267
19027,0.4875774857426234,8846,986
19015,0.49302431958527107,12234,700
19157,0.45573929961089496,7996,437
19111,0.36304483465549516,10775,1444
19051,0.2783333333333333,2352,153
19105,0.4678207049949229,8690,985
19187,0.43471479500891266,14309,1299
19127,0.4725037466026569,16171,2431
19019,0.40892561983471079,8073,586
19017,0.46664272603942227,10679,1016
19097,0.418694377282782,7779,360
19121,0.4101481209450361,6393,308
19059,0.4608877042531,7700,254
19023,0.4611122653923402,6250,408
19149,0.4016761329785121,8066,2047
19057,0.36815767187620299,13536,810
19145,0.40438207453498378,5620,489
19195,0.39940387481371089,2777,171
19183,0.43833371272478946,8960,668
19035,0.42269692923898535,4401,348
19109,0.4201039627354351,5693,530
19071,0.3603448275862069,2312,196
19047,0.4004756242568371,5442,1294
19159,0.40988966080915409,1968,38
19181,0.44248630163603155,21541,1232
19077,0.45392459537842647,4540,312
19037,0.4231123774407106,4387,662
19087,0.4055327252681167,6590,1502
19115,0.3824195740824649,3217,1003
19129,0.3766629161426964,5420,271
19137,0.4241201976404155,3687,519
19085,0.3749733077087337,4920,348
19147,0.4015304974116588,3354,214
19039,0.39904204364023418,3062,687
19041,0.411525974025974,6229,362
19081,0.3885230479774224,3690,440
19139,0.4473326457903619,15336,3749
19123,0.32618239420683417,6448,759
19189,0.4163608267336295,3748,563
19083,0.4367208832957379,6467,890
19171,0.4612554883113801,6995,779
19075,0.4853662524525834,5483,454
19185,0.31703151684521038,1877,165
19151,0.40867200483456719,2499,206
19125,0.39710702793732896,11121,2084
19005,0.3780960035069774,4963,212
19091,0.3889935132872986,3372,346
19093,0.37755102040816326,2197,393
19165,0.46612537104941506,5123,216
19009,0.4794395924308588,2487,148
19191,0.49432244510029518,9027,855
19063,0.3992180712423979,3370,306
19065,0.4255979643765903,7813,550
19117,0.35430232558139537,2676,371
19119,0.28745214802211829,3219,160
19003,0.4153248195446974,1441,55
19173,0.3644829276262049,2164,67
19131,0.38267523143774798,3867,184
19053,0.30559085133418048,2182,223
19073,0.4443069306930693,3451,498
19007,0.3591662642845646,4060,403
19175,0.39187974838656977,4550,247
19101,0.3694998633506423,6072,688
19197,0.44682375417927086,4723,890
19177,0.3151618398637138,2027,193
19067,0.4087712568725227,5917,477
19001,0.39569351230425056,2522,308
19021,0.46722731906218148,6245,2922
19095,0.4829461196243203,7168,648
19069,0.41032770605759685,3778,354
19031,0.4674934235249906,8057,651
19107,0.35828616045285968,3385,286
19135,0.36330608537693007,2496,304
19079,0.48663101604278077,6531,658
19025,0.4670045510964005,4199,316
19141,0.40260306842143536,5041,496
19133,0.41625072547881605,3377,209
19143,0.36471970459885869,1975,198
19089,0.3928805416029701,3161,437
,,37,6
