County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,221741,41962,35833,419,380,39
Linn,95910,16754,14992,251,234,17
Scott,70578,14303,12235,153,145,8
Johnson,65481,11290,10003,47,43,4
Black Hawk,57692,12907,11425,220,207,13
Woodbury,50102,12393,10986,171,157,14
Dubuque,48157,10728,9604,139,131,8
Story,46004,8074,7204,31,27,4
Dallas,43717,8031,6830,67,57,10
Pottawattamie,39834,8391,7070,102,91,11
Warren,22495,3877,3102,34,32,2
Cerro Gordo,19919,4366,3824,63,52,11
Webster,18589,4464,3849,65,58,7
Clinton,17909,4163,3568,56,50,6
Muscatine,17611,3612,3132,75,68,7
Des Moines,17408,3577,3104,35,32,3
Marshall,16980,4049,3637,57,54,3
Jasper,14578,2932,2371,54,52,2
Wapello,13775,3157,2688,93,91,2
Sioux,13363,4371,3910,44,43,1
Lee,13045,2907,2383,27,22,5
Buena Vista,12912,3749,3230,27,24,3
Marion,12567,2741,2184,49,42,7
Plymouth,11347,3377,2972,58,52,6
Boone,10975,1953,1548,15,13,2
Benton,10372,1997,1773,38,34,4
Pending Investigation,9941,764,396,0,0,0
Washington,9657,1904,1540,29,28,1
Carroll,9650,2408,2064,31,25,6
Bremer,9539,2279,2076,45,41,4
Henry,9208,2494,2175,28,28,0
Dickinson,8724,1729,1505,20,18,2
Mahaska,8490,1762,1345,35,32,3
Jones,8230,2603,2422,48,47,1
Winneshiek,8029,1399,1104,19,17,2
Buchanan,7679,1462,1266,17,16,1
Crawford,7423,2138,1847,22,19,3
Fayette,7404,1438,1132,21,20,1
Cedar,7359,1410,1178,19,18,1
Jackson,7349,1788,1593,29,28,1
Tama,6977,1766,1547,56,54,2
Poweshiek,6930,1223,1051,24,22,2
Clay,6912,1561,1302,15,11,4
Hardin,6884,1465,1264,26,24,2
Wright,6851,1542,1349,20,18,2
Iowa,6637,1149,1017,21,20,1
Delaware,6608,1645,1484,32,31,1
Mills,6606,1297,1136,15,14,1
Kossuth,6406,1568,1312,32,31,1
Floyd,6358,1293,1139,36,28,8
Hamilton,6212,1495,1237,24,24,0
Jefferson,6141,1042,798,20,19,1
Madison,5982,987,786,8,7,1
Clayton,5707,1410,1198,46,39,7
Butler,5665,1300,1110,23,20,3
O'Brien,5582,1605,1406,53,49,4
Union,5562,1035,870,19,19,0
Harrison,5429,1460,1143,59,56,3
Cass,5191,1064,850,39,37,2
Page,5110,1386,1249,14,13,1
Winnebago,5033,1108,968,28,23,5
Allamakee,4963,1196,923,26,22,4
Cherokee,4959,1264,1013,22,20,2
Hancock,4868,1191,947,24,19,5
Appanoose,4843,984,849,36,36,0
Grundy,4685,1105,900,20,15,5
Guthrie,4673,962,805,23,18,5
Mitchell,4654,1059,861,31,31,0
Calhoun,4582,1174,1103,9,9,0
Louisa,4521,1084,912,24,20,4
Sac,4465,1046,922,14,14,0
Chickasaw,4381,1050,933,11,10,1
Shelby,4299,956,809,25,25,0
Franklin,4197,923,767,17,16,1
Emmet,4166,1023,826,27,26,1
Humboldt,3957,984,832,18,15,3
Clarke,3809,698,524,6,6,0
Lyon,3804,1266,1099,25,23,2
Palo Alto,3739,825,705,8,8,0
Howard,3576,747,581,17,13,4
Montgomery,3530,771,535,16,15,1
Greene,3513,650,555,7,7,0
Keokuk,3343,799,692,25,25,0
Monona,3092,554,475,16,15,1
Lucas,3073,593,361,8,8,0
Worth,3010,535,406,3,2,1
Pocahontas,3009,729,610,12,12,0
Adair,2969,616,478,17,13,4
Decatur,2773,431,359,4,4,0
Monroe,2690,696,465,17,16,1
Ida,2660,701,571,29,28,1
Davis,2622,651,535,20,19,1
Van Buren,2217,458,405,12,11,1
Fremont,2215,473,406,5,3,2
Taylor,2131,547,481,9,7,2
Audubon,2077,385,314,7,7,0
Osceola,2040,616,560,8,7,1
Ringgold,1952,367,279,8,7,1
Wayne,1840,389,314,21,17,4
Adams,1295,271,194,2,2,0
