ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,561567,28485,259021,15447
19059,16469,654,7763,285
19021,19703,1152,7296,3858
19027,21957,754,9889,1253
19049,96362,4577,45162,2819
19181,37009,1598,17216,1144
19013,150226,6319,68649,6406
19033,55776,2647,25470,2116
19169,107190,5090,49827,3231
19195,3576,68,1755,1
19083,14343,422,6248,1351
19189,8852,297,4011,513
19081,6930,147,3020,745
19155,102160,5515,45361,4992
19139,35042,1404,14140,5245
19009,4216,61,2028,101
19005,12008,412,5726,128
19099,30447,1079,14178,1220
19103,193649,7079,91147,4610
19017,27681,1002,12608,1468
19065,21952,651,10170,960
19061,128217,4202,60894,2417
19041,17616,687,8340,313
19063,10477,612,4659,417
19147,7128,224,3355,169
19193,99624,5697,44641,5071
19003,3640,83,1673,20
19173,4681,119,2249,36
19175,10759,508,4996,356
19067,14602,454,6458,1220
19035,10211,360,4736,372
19123,16465,672,7576,589
19183,16102,702,7397,594
19179,27167,1252,12373,1049
19073,9754,289,4434,525
19113,265874,10316,123601,9630
19019,13717,538,6408,374
19101,16853,773,7542,1003
19127,32971,1487,14190,3243
19109,12995,422,6003,528
19187,38351,1766,17454,1435
19037,6146,149,2822,362
19011,16243,521,7617,484
19141,11456,376,5338,402
19045,37772,1884,17046,1710
19131,9419,260,4471,192
19029,21841,601,10267,473
19135,7086,177,3252,373
19159,4444,125,2128,6
19163,179274,8406,81448,6759
19125,30003,1141,12271,4160
19149,18024,590,7202,2995
19015,24189,713,11470,607
19091,8853,312,3975,436
19151,4125,103,1917,179
19055,10647,398,4731,822
19031,13174,308,6299,299
19167,24068,884,10193,2788
19143,3291,50,1521,199
19161,6692,146,3227,70
19069,7540,236,3508,280
19133,4658,122,2161,231
19075,10295,473,4655,510
19171,18164,673,8207,985
19137,7699,441,3314,605
19111,28410,1317,12337,2189
19197,12076,338,4972,1812
19047,14713,617,6231,1608
19077,9435,278,4406,321
19093,3874,125,1608,537
19051,8529,226,3276,1697
19025,8592,154,4093,221
19145,15452,803,6883,855
19057,40220,2231,18568,795
19007,9571,456,4254,516
19157,19558,662,9257,477
19191,18498,779,8342,1071
19023,7972,111,3826,193
19087,17804,737,7472,2079
19053,6235,205,2899,137
19097,17106,506,8158,303
19001,4911,176,2219,344
19079,14975,377,7008,422
19039,10436,382,4328,1387
19095,12342,223,5724,653
19119,6296,148,3012,114
19043,13014,284,6008,669
19085,7319,406,3313,271
19117,7618,225,3432,441
19107,3389,63,1614,100
19165,12313,353,5869,184
19185,6573,201,2926,409
19115,8206,179,3231,1571
19121,14618,364,6993,189
19177,3044,69,1420,131
,10383,240,5210,1
19105,13999,392,6284,993
19129,12666,595,5934,171
19089,4852,233,2204,229
19071,3427,97,1616,98
