County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,33725,67968,526,171546
Linn,22532,31078,2316,85980
Scott,17894,18782,196,56132
Johnson,15606,32029,168,80261
Black Hawk,14946,19282,1914,55570
Dubuque,12890,16051,310,45293
Woodbury,11898,11563,100,34787
Story,9437,10871,291,31371
Cerro Gordo,8143,6196,998,21397
Pottawattamie,7942,13700,2984,39005
Dallas,5720,8540,1042,23288
Clinton,4402,3242,92,10977
Des Moines,4348,5817,94,15857
Webster,4144,4156,216,12653
Warren,3937,4172,83,12079
Marshall,3510,2191,1576,9443
Muscatine,3414,2382,1294,9460
Fayette,3331,1458,200,6433
Cass,3322,1089,0,5498
Wapello,3267,2994,0,9250
Jackson,3171,1744,0,6656
Marion,3144,2535,514,8716
Bremer,3129,4029,110,11248
Lee,3104,3345,186,10185
Poweshiek,2867,927,0,4726
Washington,2741,722,1,4186
Sioux,2731,2979,968,9651
Tama,2685,1498,560,6135
Dickinson,2557,1494,0,5539
Allamakee,2463,913,0,4287
Mahaska,2456,1227,0,4898
Benton,2419,1645,0,5711
Boone,2346,3024,97,8448
Clay,2343,2991,0,8254
Jasper,2335,4495,101,11178
Buena Vista,2330,1363,2297,7417
Clayton,2315,1568,0,5452
Floyd,2296,1070,144,4568
Page,2271,1237,85,4825
Henry,2246,1408,103,5185
Winneshiek,2181,1749,1,5674
Cedar,1995,1582,0,5159
Madison,1955,1283,0,4520
Buchanan,1954,1644,0,5237
Carroll,1902,2777,92,7573
Plymouth,1780,2336,2088,8539
Hardin,1775,1521,0,4807
Crawford,1764,1326,1269,5679
Shelby,1731,1208,0,4150
Jefferson,1716,1392,67,4566
Iowa,1709,1439,0,4586
Kossuth,1681,1697,0,5073
Hamilton,1663,1381,0,4421
O'Brien,1657,1414,0,4491
Appanoose,1506,969,0,3433
Calhoun,1469,1185,0,3837
Butler,1467,1157,0,3778
Mills,1442,1280,0,4004
Mitchell,1397,802,0,3003
Cherokee,1392,1209,35,3842
Union,1370,982,0,3333
Grundy,1367,1221,0,3811
Jones,1292,1517,0,4371
Franklin,1247,812,0,2869
Wright,1227,1062,1286,4635
Emmet,1215,693,0,2622
Guthrie,1202,977,0,3144
Louisa,1179,708,1424,4016
Delaware,1173,1348,99,3966
Hancock,1150,738,0,2622
Palo Alto,1136,906,0,2949
Winnebago,1044,851,0,2744
Davis,1033,751,434,2960
Chickasaw,1017,718,0,2449
Wayne,1015,721,0,2457
Lyon,985,768,0,2521
Lucas,953,685,49,2365
Taylor,924,659,0,2238
Monroe,913,725,99,2455
Sac,902,1131,0,3164
Montgomery,897,805,98,2604
Decatur,895,595,0,2061
Harrison,871,1161,0,3192
Humboldt,868,747,0,2360
Greene,838,821,49,2527
Adair,768,467,0,1699
Clarke,765,617,1109,3088
Van Buren,679,210,0,1097
Howard,615,571,0,1756
Audubon,610,742,0,2094
Pocahontas,604,510,85,1708
Monona,595,687,0,1963
Adams,589,485,0,1559
Ida,566,560,0,1694
Ringgold,521,762,0,2033
Fremont,511,530,0,1570
Worth,479,593,0,1662
Osceola,414,533,0,1481
Keokuk,402,582,0,1565
Out of State,264,3636,0,7559
