ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,238600,227235,11365
19021,9853,6380,3473
19027,10114,9048,1066
19049,42802,40508,2294
19181,16701,15781,920
19013,68055,62143,5912
19033,24858,23141,1717
19169,48261,45637,2624
19195,1668,1667,1
19083,7161,5859,1302
19189,4163,3679,484
19155,45436,40664,4772
19139,17418,12635,4783
19009,2037,1936,101
19005,5488,5382,106
19099,14098,13035,1063
19103,88228,84231,3997
19017,12564,11385,1179
19065,10522,9629,893
19061,58541,56522,2019
19041,8048,7812,236
19147,3315,3170,145
19193,44223,39552,4671
19003,1616,1609,7
19173,2159,2142,17
19175,4788,4514,274
19067,6997,5999,998
19063,4802,4438,364
19035,4687,4442,245
19123,7470,6968,502
19183,7208,6695,513
19179,11892,11162,730
19073,4643,4150,493
19113,121050,112858,8192
19145,7105,6352,753
19171,8754,7785,969
19127,15018,12360,2658
19029,10183,9769,414
19163,78849,73014,5835
19055,5097,4350,747
19161,3232,3187,45
19137,3581,3017,564
19129,5188,5046,142
19085,3449,3215,234
19165,5594,5475,119
19157,9030,8630,400
19105,6709,5859,850
19007,4470,4007,463
19167,12061,9454,2607
19031,6219,5952,267
19043,6499,5855,644
19117,3607,3231,376
19191,8389,7415,974
19087,8714,6876,1838
19011,7605,7163,442
19045,16392,14938,1454
19057,17132,16451,681
19019,6192,5887,305
19079,6990,6589,401
19131,4334,4199,135
19015,10947,10421,526
19077,4388,4150,238
19149,9511,6623,2888
19187,17030,15831,1199
19047,7258,5685,1573
19185,3186,2816,370
19141,5287,4968,319
19121,6769,6618,151
19023,3929,3769,160
19095,6017,5425,592
19091,4131,3760,371
19053,2871,2753,118
,5212,5211,1
19111,12859,11072,1787
19071,1666,1570,96
19159,2003,1999,4
19101,7725,6797,928
19037,3016,2690,326
19109,5978,5509,469
19125,15199,11216,3983
19151,1961,1817,144
19069,3528,3292,236
19081,3592,2885,707
19135,3299,3025,274
19059,7401,7175,226
19143,1604,1445,159
19119,2974,2904,70
19133,2198,2012,186
19075,4713,4341,372
19115,4621,3102,1519
19051,4769,3115,1654
19197,6204,4518,1686
19097,7889,7643,246
19093,2009,1524,485
19039,5279,3928,1351
19025,4223,4054,169
19001,2457,2130,327
19107,1646,1546,100
19177,1499,1394,105
19089,2163,1999,164
