Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.1287807737397421,American Indian or Alaska Native
Asian,0.38235119295284067,Asian
Black,0.1704227001288006,Black
Native Hawaiian or Other Pacific Islander,0.32826810990840968,Native Hawaiian or Other Pacific Islander
Other Race,0.5455720332137896,Other Race
White,0.47884494312855888,White
