County,Series Initiated,Series Completed
Polk,37616,58889
Linn,24051,26009
Scott,17529,14627
Black Hawk,17062,14783
Johnson,16217,28191
Dubuque,12171,13119
Woodbury,11521,9103
Pottawattamie,9518,11731
Story,8503,9290
Cerro Gordo,7412,5358
Dallas,6869,6752
Des Moines,4737,4611
Clinton,4398,2427
Warren,4259,3333
Webster,3605,3854
Wapello,3579,2141
Muscatine,3547,1605
Bremer,3479,3211
Marion,3463,1858
Jackson,3463,1048
Lee,3406,2479
Marshall,3365,1697
Sioux,3081,2110
Plymouth,3013,1071
Tama,2855,965
Fayette,2750,917
Jasper,2722,3714
Dickinson,2678,1152
Poweshiek,2591,738
Washington,2587,576
Clayton,2523,882
Benton,2518,1176
Mahaska,2489,750
Winneshiek,2370,1151
Buena Vista,2349,967
Buchanan,2332,816
Boone,2300,2503
Page,2266,1235
Henry,2244,899
Madison,2238,673
Hamilton,2219,759
Floyd,2215,745
Cass,2113,836
Clay,2111,2763
Crawford,2065,809
Cedar,2045,1131
Iowa,1985,830
Carroll,1899,2421
Kossuth,1882,994
Jefferson,1870,872
Shelby,1796,859
Allamakee,1747,720
Butler,1662,762
O'Brien,1654,1216
Hardin,1647,1153
Cherokee,1609,785
Appanoose,1551,659
Union,1503,633
Grundy,1425,818
Mills,1396,1050
Jones,1394,1237
Louisa,1371,361
Mitchell,1332,427
Hancock,1307,394
Sac,1282,701
Palo Alto,1275,558
Davis,1272,328
Emmet,1271,465
Calhoun,1254,866
Guthrie,1244,666
Chickasaw,1206,335
Franklin,1204,550
Wright,1176,778
Delaware,1112,1146
Montgomery,1037,562
Winnebago,1036,601
Lyon,1029,529
Harrison,1002,849
Lucas,1000,421
Taylor,948,432
Monroe,908,585
Wayne,905,620
Decatur,892,382
Adair,831,265
Humboldt,830,620
Greene,755,710
Clarke,685,514
Monona,667,489
Pocahontas,667,346
Audubon,624,588
Howard,609,473
Adams,598,265
Ringgold,581,544
Van Buren,570,208
Ida,550,469
Worth,512,449
Fremont,510,458
Osceola,503,334
Keokuk,469,411
Out of State,260,3621
