RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19163,67396,62512,4884
19127,18022,15647,2375
19059,7866,7622,244
19113,112920,105086,7834
19169,46975,44408,2567
19013,58453,53339,5114
19085,5197,4858,339
19179,12514,10353,2161
19019,8530,7955,575
19021,9017,6134,2883
19187,15322,14092,1230
19041,6434,6081,353
19075,5856,5412,444
19073,3874,3382,492
19049,44339,42126,2213
19171,7666,6893,773
19141,5453,4971,482
19103,84057,79525,4532
19153,230786,218845,11941
19139,18765,15065,3700
19129,5385,5117,268
19017,11478,10483,995
19047,6616,5328,1288
19033,19878,18362,1516
19091,3679,3335,344
19043,6733,6185,548
19089,3548,3114,434
19061,48580,46955,1625
19095,7731,7096,635
19107,3614,3331,283
19161,3988,3667,321
19079,7078,6429,649
19051,2466,2321,145
19071,2443,2258,185
19087,7998,6520,1478
19145,6025,5542,483
19181,22311,21108,1203
19149,9905,7884,2021
19105,9528,8576,952
19083,7261,6384,877
19155,34573,32529,2044
19027,9724,8751,973
19135,2743,2443,300
19125,13012,10941,2071
19183,9437,8785,652
19081,4059,3630,429
19067,6300,5834,466
19191,9709,8864,845
19175,4705,4463,242
19065,8212,7682,530
19099,16046,14572,1474
19193,38549,34201,4348
19035,4713,4369,344
19001,2779,2477,302
19197,5499,4621,878
19093,2561,2175,386
19015,12673,11982,691
19195,2916,2748,168
19023,6577,6178,399
19165,5277,5073,204
19009,2558,2414,144
19157,8314,7890,424
19031,8589,7949,640
19109,6116,5595,521
19147,3527,3319,208
19131,4001,3828,173
19003,1475,1425,50
19173,2199,2137,62
19137,4133,3620,513
19045,17796,16474,1322
19029,5812,5472,340
19123,7102,6356,746
19189,4245,3693,552
19117,2990,2628,362
19063,3633,3336,297
19011,11173,10324,849
19167,11147,9537,1610
19111,11997,10580,1417
19039,3686,3002,684
19057,14059,13263,796
19077,4774,4467,307
19121,6571,6270,301
19101,6593,5914,679
19185,2012,1851,161
19151,2678,2476,202
19097,8017,7663,354
19069,4059,3712,347
19177,2201,2016,185
19025,4478,4166,312
19159,1985,1947,38
19115,4154,3161,993
19055,7037,6227,810
19005,5119,4911,208
19133,3511,3309,202
19143,2154,1958,196
19007,4412,4021,391
19037,4993,4338,655
19119,3361,3202,159
19053,2386,2164,222
,44,38,6
