Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.16992966002344668,American Indian or Alaska Native
Asian,0.37393454510871507,Asian
Black,0.19661215409234612,Black
Native Hawaiian or Other Pacific Islander,0.34388009991673609,Native Hawaiian or Other Pacific Islander
Other Race,0.519692417046299,Other Race
White,0.41549414496971057,White
