Age Group Public,RECIP_ID
0 - 11,47
12 - 15,136678
16 - 17,75862
18 - 19,82304
20 - 29,395728
30 - 39,429929
40 - 49,434441
50 - 59,517128
60 - 64,311816
65+,947425
