County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,216969,40337,33042,406,370,36
Linn,94082,16295,13935,240,225,15
Scott,69101,13731,11057,146,138,8
Johnson,63961,10783,9361,47,43,4
Black Hawk,56560,12488,10800,215,202,13
Woodbury,49201,12035,10306,163,151,12
Dubuque,47418,10423,9090,135,127,8
Story,45281,7846,6810,29,25,4
Dallas,42736,7695,6278,64,54,10
Pottawattamie,39067,8056,6345,90,82,8
Warren,21934,3632,2767,33,31,2
Cerro Gordo,19523,4238,3477,59,50,9
Webster,18345,4330,3533,61,55,6
Clinton,17547,4023,3262,53,47,6
Muscatine,17188,3472,2841,73,66,7
Des Moines,17087,3430,2846,32,29,3
Marshall,16725,3936,3436,54,51,3
Jasper,14293,2803,2141,52,50,2
Wapello,13441,3041,2472,90,88,2
Sioux,13115,4266,3719,41,40,1
Lee,12757,2788,2014,24,20,4
Buena Vista,12718,3624,3022,25,22,3
Marion,12244,2596,2021,46,40,6
Plymouth,11149,3300,2725,51,45,6
Boone,10658,1802,1364,15,13,2
Benton,10197,1953,1666,36,32,4
Pending Investigation,9630,617,392,0,0,0
Washington,9490,1809,1399,27,26,1
Carroll,9449,2308,1945,27,21,6
Bremer,9382,2214,1938,41,38,3
Henry,9063,2438,1936,24,24,0
Dickinson,8586,1667,1368,15,13,2
Mahaska,8292,1653,1227,32,30,2
Jones,8101,2553,2301,44,43,1
Winneshiek,7845,1340,946,17,15,2
Buchanan,7541,1402,1157,16,15,1
Crawford,7321,2065,1742,21,18,3
Fayette,7222,1323,1028,16,15,1
Cedar,7216,1344,1051,18,17,1
Jackson,7211,1751,1495,29,28,1
Tama,6866,1730,1484,55,53,2
Clay,6806,1510,1156,11,8,3
Poweshiek,6774,1165,977,24,22,2
Hardin,6754,1424,1144,25,23,2
Wright,6732,1496,1227,16,14,2
Iowa,6525,1118,912,20,19,1
Delaware,6513,1600,1411,29,28,1
Mills,6504,1253,1064,14,13,1
Floyd,6246,1250,1017,33,25,8
Kossuth,6214,1469,1046,28,27,1
Hamilton,6086,1432,1103,22,22,0
Jefferson,5968,965,705,20,19,1
Madison,5822,914,688,8,7,1
Clayton,5572,1333,1093,39,35,4
Butler,5537,1240,995,18,17,1
O'Brien,5501,1567,1285,50,46,4
Union,5474,1001,758,16,16,0
Harrison,5302,1386,1051,52,49,3
Cass,5051,1007,780,38,36,2
Page,5007,1335,1192,13,13,0
Winnebago,4959,1089,891,28,23,5
Allamakee,4874,1138,766,20,16,4
Cherokee,4792,1188,840,20,18,2
Hancock,4780,1145,855,24,19,5
Appanoose,4728,933,780,34,34,0
Grundy,4570,1035,843,15,12,3
Guthrie,4558,928,734,22,17,5
Calhoun,4532,1164,1049,9,9,0
Mitchell,4525,995,774,27,27,0
Louisa,4414,1031,840,24,20,4
Sac,4398,1019,834,14,14,0
Chickasaw,4274,1012,846,10,9,1
Shelby,4215,922,752,23,23,0
Franklin,4092,866,723,17,16,1
Emmet,4083,978,774,23,22,1
Humboldt,3876,930,766,18,15,3
Clarke,3706,645,479,6,6,0
Lyon,3703,1221,1015,24,22,2
Palo Alto,3669,787,647,8,8,0
Howard,3482,684,533,15,11,4
Greene,3457,632,520,7,7,0
Montgomery,3423,714,460,15,14,1
Keokuk,3278,767,592,23,23,0
Monona,3042,538,433,15,14,1
Lucas,2983,525,317,7,7,0
Pocahontas,2945,683,561,11,11,0
Worth,2924,495,359,2,2,0
Adair,2906,577,431,17,13,4
Decatur,2706,411,324,3,3,0
Ida,2610,680,476,22,21,1
Davis,2551,622,478,18,17,1
Monroe,2531,603,430,16,15,1
Van Buren,2181,447,370,11,10,1
Fremont,2177,454,373,5,3,2
Taylor,2093,528,460,8,7,1
Audubon,2033,363,293,7,7,0
Osceola,2007,604,522,7,6,1
Ringgold,1922,352,214,7,6,1
Wayne,1783,360,290,21,17,4
Adams,1258,249,169,2,2,0
,,,,1,1,0
