Age Group Public,RECIP_ID
0 - 11,7
12 - 15,79277
16 - 17,55628
18 - 19,65645
20 - 29,334498
30 - 39,372393
40 - 49,385219
50 - 59,471529
60 - 64,292688
65+,917956
