Age Group Public,RECIP_ID
0 - 11,19
12 - 15,115545
16 - 17,68026
18 - 19,75327
20 - 29,366203
30 - 39,401836
40 - 49,411674
50 - 59,497015
60 - 64,303708
65+,934018
