County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,205481,36754,26437,362,328,34
Linn,89664,15279,10720,211,199,12
Scott,65243,12610,8023,113,107,6
Johnson,60964,10210,7813,42,39,3
Black Hawk,54143,11664,8779,178,166,12
Woodbury,46790,11237,9014,140,132,8
Dubuque,45592,9828,7608,123,116,7
Story,43127,7283,5346,21,20,1
Dallas,40291,6983,5024,59,49,10
Pottawattamie,36848,7233,4705,70,65,5
Warren,20690,3182,2055,23,21,2
Cerro Gordo,18570,3937,2523,48,42,6
Webster,17570,3971,2798,47,41,6
Clinton,16539,3662,2451,47,43,4
Des Moines,16279,3197,2216,25,22,3
Muscatine,16265,3248,2150,63,57,6
Marshall,15937,3701,2894,50,47,3
Jasper,13170,2430,1735,48,46,2
Wapello,12595,2794,2003,86,84,2
Sioux,12429,3996,3147,38,37,1
Buena Vista,12192,3291,2665,17,15,2
Lee,11930,2459,1547,17,14,3
Marion,11392,2253,1581,27,22,5
Plymouth,10578,3060,2288,39,34,5
Boone,9976,1579,1056,14,12,2
Benton,9738,1834,1263,28,25,3
Carroll,9017,2113,1626,22,16,6
Bremer,8964,2094,1426,29,26,3
Pending Investigation,8852,720,243,0,0,0
Washington,8839,1591,1003,23,22,1
Henry,8382,2139,1481,18,18,0
Dickinson,8155,1543,1063,12,10,2
Jones,7829,2429,1854,28,28,0
Mahaska,7686,1406,1013,31,29,2
Winneshiek,7312,1165,720,15,13,2
Buchanan,7211,1305,862,15,14,1
Crawford,7073,1894,1579,16,13,3
Fayette,6845,1160,755,14,13,1
Cedar,6839,1219,796,15,14,1
Jackson,6822,1595,1209,23,22,1
Tama,6534,1604,1267,55,53,2
Poweshiek,6458,1080,793,21,20,1
Wright,6427,1388,996,9,7,2
Hardin,6367,1283,834,20,18,2
Clay,6367,1354,851,10,7,3
Iowa,6241,1040,703,19,19,0
Delaware,6233,1526,1169,26,25,1
Mills,6191,1153,772,10,10,0
Floyd,5976,1174,716,22,16,6
Kossuth,5894,1332,721,21,20,1
Hamilton,5762,1274,718,17,17,0
Jefferson,5583,826,472,11,10,1
Madison,5496,804,533,8,7,1
Butler,5285,1135,733,11,10,1
Clayton,5282,1232,820,24,20,4
Union,5228,924,497,9,9,0
O'Brien,5167,1430,1047,43,39,4
Harrison,4933,1199,859,48,45,3
Cass,4784,901,616,35,33,2
Page,4757,1241,1009,9,9,0
Winnebago,4725,1007,705,26,22,4
Allamakee,4553,980,586,16,14,2
Cherokee,4504,1062,617,13,11,2
Appanoose,4478,858,567,31,31,0
Hancock,4475,985,636,19,18,1
Calhoun,4378,1125,836,8,8,0
Grundy,4335,915,616,13,11,2
Guthrie,4331,830,588,22,17,5
Mitchell,4287,888,537,19,19,0
Louisa,4247,939,685,21,18,3
Sac,4214,953,623,9,9,0
Chickasaw,4096,945,754,9,8,1
Shelby,3987,841,597,16,16,0
Franklin,3874,793,542,17,16,1
Emmet,3812,864,600,23,22,1
Humboldt,3694,845,540,12,10,2
Palo Alto,3525,714,479,2,2,0
Lyon,3510,1128,764,21,19,2
Clarke,3422,540,415,6,6,0
Greene,3262,572,373,5,5,0
Howard,3261,612,373,15,11,4
Montgomery,3180,575,327,12,11,1
Keokuk,3089,699,411,13,13,0
Monona,2875,486,328,12,11,1
Pocahontas,2824,625,420,4,4,0
Adair,2750,500,327,15,12,3
Worth,2729,415,248,2,2,0
Lucas,2685,382,272,6,6,0
Decatur,2516,363,255,1,1,0
Ida,2453,602,374,16,15,1
Davis,2338,516,340,12,11,1
Monroe,2294,483,346,14,14,0
Fremont,2055,412,299,5,3,2
Van Buren,2054,410,289,11,10,1
Taylor,1997,486,357,8,7,1
Osceola,1920,582,417,3,3,0
Audubon,1895,321,245,6,6,0
Ringgold,1808,298,134,5,5,0
Wayne,1695,327,251,21,17,4
Adams,1171,201,128,2,2,0
