Age Group Public,RECIP_ID
0 - 11,41
12 - 15,131340
16 - 17,73841
18 - 19,80245
20 - 29,385636
30 - 39,420455
40 - 49,427189
50 - 59,510785
60 - 64,309299
65+,942626
