County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,39877,80826,1032,203959
Linn,23506,39979,3427,105880
Scott,19832,24719,1015,70751
Johnson,17012,36913,253,91542
Black Hawk,14507,26360,2106,69480
Dubuque,13178,19904,313,53285
Pottawattamie,10727,16469,3467,47939
Woodbury,10241,14887,126,39689
Story,9619,14301,386,38481
Cerro Gordo,8154,8464,1014,25959
Cass,5542,1814,0,9158
Dallas,5501,11105,1042,28211
Webster,5117,5433,496,16462
Clinton,4891,4639,100,14271
Des Moines,4768,7141,349,19224
Warren,4183,5396,91,14783
Marshall,4116,2873,1576,11405
Muscatine,3934,3635,1293,12484
Lee,3662,4159,195,12336
Fayette,3580,2405,200,8571
Wapello,3432,4115,0,11657
Marion,3345,3951,1489,12722
Bremer,3118,5108,110,13402
Allamakee,2899,1490,0,5878
Sioux,2856,3841,1321,11852
Jasper,2823,5175,101,13025
Boone,2749,3659,97,10119
Jackson,2652,2608,0,7859
Tama,2382,2349,649,7625
Henry,2363,2026,104,6537
Clayton,2332,2284,0,6900
Clay,2265,3782,0,9755
Poweshiek,2258,2433,0,7127
Clarke,2204,729,1107,4749
Mitchell,2201,1201,0,4605
Mahaska,2173,2152,0,6466
Emmet,2118,1170,1,4480
Kossuth,2095,2073,0,6237
Dickinson,2082,2736,0,7543
Cedar,2059,2186,0,6428
Winneshiek,2029,2330,1,6684
Madison,2015,1907,0,5828
Appanoose,2012,1138,0,4274
Benton,2006,2741,0,7490
Hamilton,1997,2130,0,6268
Crawford,1952,1853,1267,6913
Carroll,1929,3294,600,9140
Washington,1911,2054,1,6017
Jefferson,1908,1852,95,5705
Buchanan,1899,2211,0,6314
Shelby,1868,1677,33,5254
Buena Vista,1787,2337,2437,8959
Floyd,1775,2050,145,6007
Page,1774,2531,85,6915
O'Brien,1622,2126,0,5884
Mills,1608,1764,0,5136
Wright,1563,1595,1324,6061
Calhoun,1538,1468,0,4471
Union,1512,1343,0,4197
Grundy,1504,1614,0,4736
Hardin,1500,2178,0,5846
Franklin,1482,1248,0,3974
Delaware,1421,1606,100,4731
Cherokee,1368,1744,80,4933
Decatur,1357,719,0,2770
Palo Alto,1321,1160,0,3642
Plymouth,1317,3307,2513,10443
Jones,1279,1981,0,5287
Guthrie,1268,1343,0,3938
Winnebago,1245,1072,0,3387
Iowa,1244,1973,0,5187
Davis,1218,973,1477,4630
Sac,1106,1396,0,3900
Butler,1100,1782,0,4663
Lucas,1036,1054,96,3232
Taylor,990,892,0,2770
Hancock,983,1083,0,3147
Louisa,981,1250,1389,4865
Chickasaw,969,1024,0,3013
Lyon,955,1114,0,3180
Humboldt,911,1047,0,3002
Monroe,891,1052,99,3087
Harrison,861,1404,0,3669
Adair,853,653,0,2156
Greene,815,1186,100,3285
Adams,791,584,0,1956
Wayne,740,1253,0,3247
Ringgold,686,859,0,2392
Montgomery,672,1189,99,3151
Audubon,591,873,0,2338
Pocahontas,508,708,85,2008
Worth,498,713,0,1920
Howard,498,806,0,2109
Monona,496,898,0,2286
Fremont,483,699,0,1881
Van Buren,469,487,0,1442
Ida,435,796,0,2031
Keokuk,417,669,0,1754
Osceola,415,632,0,1680
Out of State,265,3776,0,7838
