County,Number of Doses
Polk,563180
Linn,258435
Johnson,186699
Scott,159920
Black Hawk,135861
Dubuque,109530
Story,107749
Dallas,106729
Woodbury,91839
Pottawattamie,85396
Warren,53121
Cerro Gordo,46226
Clinton,42390
Marshall,42160
Muscatine,41519
Jasper,37222
Webster,35578
Des Moines,34526
Boone,29650
Marion,29162
Wapello,28320
Lee,27861
Bremer,26119
Benton,25701
Sioux,24484
Washington,21626
Plymouth,21563
Winneshiek,21546
Carroll,21235
Jones,20986
Buena Vista,20070
Buchanan,20015
Cedar,19338
Poweshiek,19029
Fayette,18839
Jackson,18354
Dickinson,17828
Henry,17603
Iowa,17581
Tama,17569
Mahaska,16445
Hardin,15937
Hamilton,15936
Delaware,15759
Madison,15429
Jefferson,15197
Clay,14942
Butler,14896
Crawford,14642
Floyd,14532
Clayton,14498
Page,13755
Kossuth,13652
Grundy,13283
Mills,13238
Cass,13075
Wright,12079
O'Brien,12008
Harrison,11939
Allamakee,11921
Shelby,11873
Guthrie,11031
Chickasaw,11001
Union,10981
Cherokee,10589
Calhoun,9936
Appanoose,9935
Franklin,9401
Montgomery,9390
Mitchell,9308
Winnebago,9235
Louisa,9089
Hancock,9088
Sac,8910
Greene,8773
Clarke,8423
Humboldt,8251
Keokuk,8184
Emmet,8180
Howard,7996
Monona,7922
Palo Alto,7902
Lyon,7355
Worth,6748
Lucas,6599
Pocahontas,6140
Adair,6123
Monroe,6066
Davis,5709
Audubon,5706
Ida,5643
Fremont,5470
Decatur,5410
Van Buren,5067
Taylor,5035
Wayne,4704
Osceola,4662
Ringgold,4534
Adams,3393
.,74
