County,Number of Doses
Polk,573012
Linn,262660
Johnson,188962
Scott,163093
Black Hawk,138679
Dubuque,110832
Story,109206
Dallas,108516
Woodbury,93921
Pottawattamie,87161
Warren,54050
Cerro Gordo,47020
Marshall,43204
Clinton,43062
Muscatine,42198
Jasper,37937
Webster,36164
Des Moines,35302
Boone,30057
Marion,29850
Wapello,28988
Lee,28344
Bremer,26495
Benton,26091
Sioux,25046
Plymouth,21996
Washington,21949
Winneshiek,21906
Carroll,21538
Jones,21244
Buena Vista,20854
Buchanan,20383
Cedar,19608
Poweshiek,19432
Fayette,19190
Jackson,18651
Dickinson,18112
Henry,17952
Tama,17926
Iowa,17904
Mahaska,16819
Hardin,16236
Hamilton,16175
Delaware,16106
Madison,15711
Jefferson,15487
Clay,15185
Butler,15102
Crawford,14989
Floyd,14763
Clayton,14649
Page,14026
Kossuth,13855
Grundy,13442
Mills,13442
Cass,13246
O'Brien,12265
Wright,12242
Allamakee,12185
Shelby,12092
Harrison,12090
Chickasaw,11229
Union,11207
Guthrie,11163
Cherokee,10761
Appanoose,10181
Calhoun,10149
Franklin,9604
Montgomery,9539
Mitchell,9440
Winnebago,9411
Louisa,9320
Hancock,9246
Sac,9105
Greene,8991
Clarke,8541
Humboldt,8396
Emmet,8377
Keokuk,8343
Howard,8148
Monona,8033
Palo Alto,8014
Lyon,7510
Worth,6882
Lucas,6734
Pocahontas,6277
Adair,6223
Monroe,6176
Davis,5829
Audubon,5787
Ida,5746
Fremont,5527
Decatur,5523
Van Buren,5200
Taylor,5117
Wayne,4786
Osceola,4735
Ringgold,4632
Adams,3476
.,78
