RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,216875,205634,11241
19103,79709,75396,4313
19127,17037,14736,2301
19169,44488,42040,2448
19027,9446,8497,949
19113,106554,99005,7549
19163,63633,59035,4598
19161,3890,3596,294
19171,7444,6687,757
19155,32750,30776,1974
19079,6863,6225,638
19167,10836,9288,1548
19183,9040,8425,615
19013,55724,50830,4894
19115,4052,3079,973
19181,21219,20085,1134
19149,9613,7637,1976
19051,2388,2253,135
19011,10767,9947,820
19179,11933,9916,2017
19145,5858,5426,432
19049,41584,39459,2125
19041,6242,5915,327
19017,11117,10156,961
19073,3688,3213,475
19137,4022,3525,497
19059,7698,7468,230
19109,5959,5452,507
19021,8581,5894,2687
19087,7678,6323,1355
19045,17102,15869,1233
19101,6313,5661,652
19191,9477,8659,818
19015,12093,11446,647
19121,6279,5995,284
19055,6819,6035,784
19105,9151,8250,901
19033,18917,17497,1420
19001,2605,2321,284
19187,14708,13623,1085
19085,4996,4679,317
19023,6404,6024,380
19057,13531,12769,762
19099,15137,13801,1336
19139,18036,14482,3554
19061,47033,45485,1548
19193,37099,32904,4195
19053,2323,2103,220
19175,4558,4330,228
19019,8259,7707,552
19091,3589,3250,339
19125,12580,10549,2031
19005,5026,4824,202
19131,3903,3739,164
19035,4597,4263,334
19025,4359,4080,279
19075,5696,5283,413
19081,3979,3566,413
19095,7429,6821,608
19195,2801,2643,158
19165,5155,4963,192
19009,2490,2355,135
19065,8039,7528,511
19147,3435,3234,201
19003,1432,1385,47
19173,2147,2092,55
19123,6877,6167,710
19157,8013,7611,402
19067,6094,5655,439
19189,4133,3590,543
19029,5604,5294,310
19135,2651,2367,284
19063,3529,3247,282
19159,1913,1877,36
19093,2483,2107,376
19141,5306,4844,462
19151,2606,2415,191
19083,7023,6178,845
19069,3940,3618,322
19133,3375,3193,182
19111,11597,10301,1296
19197,5306,4444,862
19143,2093,1912,181
19047,6421,5157,1264
19043,6620,6093,527
19007,4223,3844,379
19107,3509,3241,268
19077,4563,4269,294
19129,5125,4869,256
19037,4860,4235,625
19185,1951,1795,156
19177,2144,1966,178
19117,2866,2511,355
19119,3301,3152,149
19097,7810,7483,327
19039,3541,2870,671
19089,3479,3062,417
19031,8207,7596,611
19071,2366,2191,175
,43,37,6
