County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,217795,40544,33682,406,370,36
Linn,94422,16370,14231,240,225,15
Scott,69415,13823,11334,147,139,8
Johnson,64325,10886,9563,47,43,4
Black Hawk,56771,12553,10924,215,202,13
Woodbury,49376,12088,10423,163,151,12
Dubuque,47552,10469,9204,135,127,8
Story,45382,7870,6880,29,25,4
Dallas,42886,7742,6391,64,54,10
Pottawattamie,39154,8084,6502,90,82,8
Warren,22015,3662,2843,33,31,2
Cerro Gordo,19586,4259,3566,59,50,9
Webster,18383,4344,3603,61,55,6
Clinton,17615,4043,3334,53,47,6
Muscatine,17265,3489,2916,73,66,7
Des Moines,17147,3445,2907,32,29,3
Marshall,16756,3946,3480,54,51,3
Jasper,14349,2819,2221,52,50,2
Wapello,13500,3065,2498,90,88,2
Sioux,13159,4278,3759,41,40,1
Lee,12819,2809,2056,24,20,4
Buena Vista,12761,3651,3064,25,22,3
Marion,12286,2624,2061,46,40,6
Plymouth,11187,3310,2774,51,45,6
Boone,10728,1829,1396,15,13,2
Benton,10227,1963,1688,36,32,4
Pending Investigation,9673,627,394,0,0,0
Washington,9516,1821,1442,27,26,1
Carroll,9492,2328,1977,27,21,6
Bremer,9410,2226,1977,41,38,3
Henry,9080,2443,1967,24,24,0
Dickinson,8611,1672,1401,15,13,2
Mahaska,8319,1659,1266,32,30,2
Jones,8129,2562,2342,44,43,1
Winneshiek,7885,1347,972,17,15,2
Buchanan,7566,1407,1179,16,15,1
Crawford,7329,2071,1762,21,18,3
Fayette,7262,1352,1040,16,15,1
Cedar,7254,1351,1079,18,17,1
Jackson,7235,1752,1522,29,28,1
Tama,6891,1739,1503,55,53,2
Clay,6826,1516,1183,11,8,3
Poweshiek,6802,1175,989,24,22,2
Hardin,6774,1430,1172,25,23,2
Wright,6753,1502,1256,16,14,2
Iowa,6546,1126,950,20,19,1
Delaware,6521,1603,1434,29,28,1
Mills,6518,1261,1083,14,13,1
Floyd,6268,1260,1046,33,25,8
Kossuth,6227,1475,1091,28,27,1
Hamilton,6097,1437,1159,22,22,0
Jefferson,5992,974,723,20,19,1
Madison,5836,921,712,8,7,1
Clayton,5590,1345,1122,39,35,4
Butler,5562,1248,1032,18,17,1
O'Brien,5516,1574,1325,50,46,4
Union,5484,1004,768,16,16,0
Harrison,5334,1400,1075,52,49,3
Cass,5076,1016,796,38,36,2
Page,5012,1338,1206,13,13,0
Winnebago,4971,1090,916,28,23,5
Allamakee,4890,1145,810,20,16,4
Cherokee,4827,1202,895,20,18,2
Hancock,4797,1150,874,24,19,5
Appanoose,4754,945,797,34,34,0
Grundy,4600,1053,864,15,12,3
Guthrie,4567,933,751,22,17,5
Calhoun,4546,1166,1061,9,9,0
Mitchell,4545,1011,792,27,27,0
Louisa,4431,1047,858,24,20,4
Sac,4410,1022,857,14,14,0
Chickasaw,4288,1016,863,10,9,1
Shelby,4224,923,765,23,23,0
Franklin,4105,870,732,17,16,1
Emmet,4101,984,791,23,22,1
Humboldt,3886,939,784,18,15,3
Clarke,3729,655,487,6,6,0
Lyon,3718,1226,1039,24,22,2
Palo Alto,3678,790,657,8,8,0
Howard,3502,693,543,15,11,4
Greene,3463,634,528,7,7,0
Montgomery,3431,716,465,15,14,1
Keokuk,3290,774,622,23,23,0
Monona,3044,539,438,15,14,1
Lucas,3007,539,320,7,7,0
Pocahontas,2953,683,570,11,11,0
Worth,2950,504,374,2,2,0
Adair,2914,583,436,17,13,4
Decatur,2711,414,326,3,3,0
Ida,2617,682,488,22,21,1
Davis,2565,625,497,18,17,1
Monroe,2554,618,434,16,15,1
Van Buren,2185,448,379,11,10,1
Fremont,2181,454,376,5,3,2
Taylor,2102,530,465,8,7,1
Audubon,2036,364,297,7,7,0
Osceola,2010,607,531,7,6,1
Ringgold,1925,352,229,7,6,1
Wayne,1790,364,297,21,17,4
Adams,1263,253,170,2,2,0
,,,,1,1,0
