ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19163,162732,7485,74053,5919
19155,92460,4526,41113,4780
19021,17146,640,6451,3510
19061,119445,3344,57131,2044
19189,8205,226,3734,491
19153,500828,27387,231083,11593
19057,35927,1935,16632,691
19157,18252,520,8711,407
19193,88537,4078,40082,4705
19129,11910,544,5604,144
19169,99092,4792,46225,2662
19049,86589,3547,41054,2337
19069,7095,164,3340,239
19013,136694,5150,62676,5960
19113,243937,8755,114074,8285
19111,25354,958,11173,1811
19127,29197,1266,12659,2709
19047,13437,349,5744,1575
19123,15099,477,7034,510
19099,28074,838,13171,1088
19101,15353,691,6866,932
19103,180525,7091,84871,4053
19179,24481,899,11328,805
19015,22383,764,10569,529
19167,22192,531,9517,2617
19181,34167,1472,15963,934
19045,33443,1508,15187,1476
19131,8785,159,4232,142
19187,34863,1407,15964,1248
19031,12480,278,5981,272
19017,25173,942,11523,1190
19029,20780,488,9829,417
19125,27604,809,11330,3987
19089,4347,148,2024,164
19009,4046,76,1936,101
19173,4450,83,2162,17
19165,11452,247,5519,123
,10367,246,5210,1
19007,8904,275,4033,470
19033,50614,2040,23377,1750
19115,7891,157,3118,1519
19121,13837,287,6667,152
19197,11197,311,4600,1705
19145,14244,589,6426,773
19185,6333,175,2840,375
19087,16187,460,6914,1848
19067,13419,300,6045,1011
19097,15995,306,7727,251
19191,16740,696,7546,981
19137,6958,272,3045,568
19171,17428,647,7881,969
19085,6968,253,3231,240
19001,4702,146,2146,327
19027,20108,590,9136,1073
19081,6650,99,2921,709
19183,14690,522,6822,518
19159,4174,78,2019,4
19117,7164,156,3267,383
19141,10696,289,5035,328
19019,12461,278,5940,307
19059,15183,475,7235,232
19083,13430,280,5893,1310
19025,8401,90,4055,169
19091,8312,242,3776,374
19041,16398,485,7865,242
19161,6560,99,3197,49
19065,20799,506,9689,897
19119,6012,103,2914,70
19011,15265,397,7201,456
19005,11243,326,5401,107
19037,5863,110,2715,330
19149,16821,420,6725,2913
19151,3877,72,1828,145
19175,9721,385,4573,280
19139,31722,1245,12768,4811
19107,3270,42,1565,100
19105,13000,286,5898,863
19135,6598,160,3064,278
19043,12647,186,5882,652
19075,9486,295,4402,374
19177,2977,76,1394,111
19063,9973,575,4456,369
19095,11807,269,5459,598
19035,9414,209,4473,251
19051,8113,166,3133,1657
19195,3417,59,1680,1
19147,6723,153,3198,145
19003,3508,96,1610,8
19073,9236,277,4195,496
19039,9587,291,3966,1352
19109,12094,427,5577,472
19077,8867,216,4196,238
19053,5888,162,2757,118
19023,7810,92,3769,161
19079,14100,264,6641,401
19055,9769,249,4403,752
19071,3323,69,1578,98
19143,3114,42,1457,160
19133,4412,66,2086,190
19093,3656,119,1526,489
