Age Group Public,RECIP_ID
0 - 11,21
12 - 15,117183
16 - 17,68620
18 - 19,75825
20 - 29,368104
30 - 39,403558
40 - 49,413234
50 - 59,498555
60 - 64,304337
65+,934940
