County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,215193,39869,32615,401,365,36
Linn,93407,16150,13739,234,220,14
Scott,68629,13626,10889,142,134,8
Johnson,63512,10716,9258,47,43,4
Black Hawk,56228,12365,10673,211,198,13
Woodbury,48872,11944,10200,160,150,10
Dubuque,47109,10327,9023,135,127,8
Story,45014,7792,6715,27,23,4
Dallas,42336,7590,6177,62,52,10
Pottawattamie,38768,7957,6206,87,79,8
Warren,21745,3564,2715,30,28,2
Cerro Gordo,19404,4205,3395,59,50,9
Webster,18274,4305,3490,58,52,6
Clinton,17427,3988,3207,52,47,5
Muscatine,17077,3444,2801,73,66,7
Des Moines,16995,3405,2807,32,29,3
Marshall,16639,3908,3401,53,50,3
Jasper,14140,2744,2109,51,49,2
Wapello,13348,3005,2438,90,88,2
Sioux,13042,4241,3680,41,40,1
Lee,12694,2762,1980,23,19,4
Buena Vista,12666,3590,2994,25,22,3
Marion,12139,2561,1994,40,35,5
Plymouth,11106,3274,2683,49,43,6
Boone,10571,1773,1347,15,13,2
Benton,10117,1939,1637,35,31,4
Washington,9409,1785,1366,27,26,1
Carroll,9390,2282,1933,27,21,6
Bremer,9327,2200,1912,40,37,3
Pending Investigation,9321,563,390,0,0,0
Henry,9014,2422,1913,23,23,0
Dickinson,8549,1657,1352,13,11,2
Mahaska,8224,1623,1221,32,30,2
Jones,8064,2539,2286,41,40,1
Winneshiek,7795,1320,936,17,15,2
Buchanan,7497,1390,1143,16,15,1
Crawford,7278,2033,1732,20,17,3
Fayette,7190,1290,1011,16,15,1
Cedar,7163,1329,1038,18,17,1
Jackson,7157,1733,1483,29,28,1
Tama,6827,1710,1470,55,53,2
Clay,6761,1505,1136,11,8,3
Poweshiek,6737,1158,971,24,22,2
Wright,6703,1487,1206,15,13,2
Hardin,6695,1407,1127,24,22,2
Iowa,6491,1111,896,19,19,0
Mills,6469,1242,1047,13,12,1
Delaware,6462,1592,1397,28,27,1
Floyd,6219,1244,995,33,25,8
Kossuth,6197,1465,1007,26,25,1
Hamilton,6048,1418,1071,21,21,0
Jefferson,5914,944,695,20,19,1
Madison,5783,897,677,8,7,1
Clayton,5515,1312,1077,39,35,4
Butler,5497,1211,969,17,16,1
O'Brien,5469,1555,1275,50,46,4
Union,5450,991,740,16,16,0
Harrison,5260,1365,1041,52,49,3
Cass,5030,1000,771,38,36,2
Page,4989,1329,1184,13,13,0
Winnebago,4928,1084,879,28,23,5
Allamakee,4839,1116,748,20,16,4
Cherokee,4767,1178,808,19,17,2
Hancock,4750,1133,837,24,19,5
Appanoose,4692,922,769,34,34,0
Grundy,4533,1016,830,14,12,2
Calhoun,4525,1160,1037,9,9,0
Guthrie,4514,904,730,22,17,5
Mitchell,4492,979,763,26,26,0
Louisa,4395,1017,828,24,20,4
Sac,4379,1014,821,14,14,0
Chickasaw,4254,1007,835,10,9,1
Shelby,4180,912,741,23,23,0
Franklin,4063,859,713,17,16,1
Emmet,4054,952,766,23,22,1
Humboldt,3855,924,750,18,15,3
Lyon,3680,1207,1003,23,21,2
Palo Alto,3658,784,631,7,7,0
Clarke,3621,613,470,6,6,0
Howard,3454,672,522,15,11,4
Greene,3442,629,514,7,7,0
Montgomery,3404,696,453,14,13,1
Keokuk,3263,760,572,22,22,0
Monona,3024,533,427,15,14,1
Pocahontas,2941,678,553,8,8,0
Lucas,2928,493,313,7,7,0
Worth,2905,487,354,2,2,0
Adair,2887,555,423,17,13,4
Decatur,2636,397,320,3,3,0
Ida,2604,674,463,21,20,1
Davis,2511,608,473,18,17,1
Monroe,2492,588,424,16,15,1
Van Buren,2168,443,365,11,10,1
Fremont,2162,449,370,5,3,2
Taylor,2085,522,454,8,7,1
Audubon,2016,362,293,7,7,0
Osceola,1992,603,517,7,6,1
Ringgold,1899,344,206,7,6,1
Wayne,1772,354,287,21,17,4
Adams,1242,241,165,2,2,0
,,,,1,1,0
