Age Group Public,RECIP_ID
0 - 11,9
12 - 15,86727
16 - 17,58134
18 - 19,67702
20 - 29,341098
30 - 39,378299
40 - 49,390687
50 - 59,477043
60 - 64,295134
65+,921687
