county_fips,metric_value
19021,0.6609999999999999
19111,0.513
19005,0.544
19063,0.504
19191,0.612
19077,0.599
19185,0.43
19117,0.469
19179,0.495
19019,0.56
19001,0.502
19079,0.639
19167,0.43700000000000008
19169,0.613
19095,0.65
19173,0.489
19009,0.608
19137,0.5670000000000001
19085,0.529
19089,0.532
19071,0.522
19029,0.599
19121,0.5529999999999999
19083,0.555
19013,0.603
19051,0.397
19177,0.424
19081,0.499
19045,0.552
19159,0.52
19101,0.46799999999999999
19073,0.591
19057,0.514
19153,0.68
19061,0.667
19049,0.685
19011,0.59
19161,0.536
19035,0.546
19149,0.5379999999999999
19115,0.52
19143,0.47200000000000005
19023,0.595
19183,0.594
19189,0.534
19087,0.541
19099,0.5870000000000001
19059,0.589
19033,0.635
19139,0.617
19181,0.607
19151,0.539
19031,0.611
19067,0.5489999999999999
19027,0.649
19109,0.54
19107,0.479
19041,0.537
19171,0.638
19097,0.542
19135,0.47100000000000005
19103,0.73
19113,0.677
19163,0.603
19039,0.5579999999999999
19003,0.547
19119,0.433
19125,0.536
19065,0.55
19123,0.444
19147,0.519
19155,0.574
19015,0.644
19145,0.523
19187,0.5760000000000001
19157,0.5820000000000001
19127,0.655
19055,0.5489999999999999
19091,0.509
19195,0.521
19133,0.55
19131,0.504
19093,0.509
19193,0.5670000000000001
19047,0.552
19075,0.634
19141,0.527
19197,0.59
19053,0.41600000000000006
19017,0.61
19165,0.608
19043,0.496
19069,0.5429999999999999
19129,0.555
19025,0.606
19175,0.515
19037,0.5589999999999999
19007,0.473
19105,0.599
,0.623
