RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,0.507886184335351,235803,13143
19161,0.42156156773994449,3761,337
19027,0.4990825688073395,9061,1003
19013,0.4700368823726644,56282,5400
19017,0.4830819567472668,11056,1051
19019,0.425926800472255,8387,632
19195,0.41200379352391278,2852,189
19033,0.4951943462897527,19302,1719
19081,0.3984948259642521,3776,460
19169,0.5082426351720091,46619,2740
19139,0.47049034314644669,16041,4032
19165,0.47695128339444739,5237,226
19009,0.4872634643377001,2524,154
19191,0.5114801660747337,9333,892
19103,0.5814476644170967,83042,4838
19065,0.43740458015267177,8007,588
19061,0.520074811686243,48847,1762
19147,0.41098356966013957,3427,225
19183,0.45089915775096747,9195,709
19193,0.39674318911422115,36291,4616
19003,0.4272626318711827,1477,62
19173,0.37428524750857708,2215,76
19041,0.4228271728271728,6374,398
19125,0.40970739482151988,11488,2136
19123,0.3373613939805386,6648,806
19157,0.4704928664072633,8252,454
19099,0.4572811617587737,15422,1582
19073,0.46208370837083709,3593,514
19113,0.525407355782379,110692,8421
19049,0.5093041421891218,45212,2384
19171,0.47715675803963455,7195,847
19109,0.43542833997164656,5890,560
19187,0.4484180035650624,14716,1384
19011,0.45513745369467736,10772,900
19045,0.41101466755691487,17632,1451
19067,0.42264416315049227,6075,536
19189,0.42746764535445239,3846,580
19131,0.3942943510296618,3968,206
19029,0.46969460891243378,5674,355
19135,0.3726482418580511,2549,323
19127,0.4942213416647616,16825,2632
19063,0.408123370981755,3444,314
19159,0.41908459337964856,2009,42
19115,0.3965564114182148,3337,1039
19163,0.41617180227011216,66716,5258
19149,0.4136712078484331,8307,2108
19059,0.47149148221114847,7864,273
19093,0.3895043731778426,2267,405
19015,0.5149424411069604,12761,748
19141,0.4111103032065731,5132,522
19075,0.4946860693263571,5573,478
19091,0.39893283113622099,3451,362
19151,0.4257440701012237,2601,217
19055,0.4294868026571042,6459,847
19101,0.3824542224651544,6285,712
19005,0.3873748812742018,5072,230
19181,0.4616834414953562,22416,1345
19025,0.47827885808853956,4285,339
19083,0.4462780482013534,6595,923
19069,0.4226415094339623,3882,374
19023,0.4748251263937946,6415,441
19133,0.4230992455020313,3411,234
19085,0.3830877642536835,5020,362
19137,0.4348089139860845,3785,527
19111,0.3808420239474701,11267,1551
19197,0.45836650214933929,4851,907
19179,0.38128056278418029,10951,2382
19121,0.422817970375811,6571,337
19143,0.3763007720711648,2024,218
19051,0.28844444444444447,2433,163
19047,0.4131391200951249,5628,1321
19145,0.4162308863440789,5750,538
19043,0.39426747962846889,6342,577
19057,0.3854543588164344,14133,887
19007,0.3684210526315789,4159,419
19107,0.3669724770642202,3458,302
19077,0.4718869866217607,4706,338
19129,0.3873850023165001,5574,279
19021,0.4841997961264016,6498,3002
19087,0.4196151147639571,6780,1593
19079,0.5001692276450281,6713,676
19035,0.4314196706720071,4477,370
19001,0.4039429530201342,2569,320
19037,0.43492834995390935,4498,692
19095,0.5023479980227386,7428,702
19167,0.33183187491034285,9888,1678
19089,0.4077309456213147,3264,470
19119,0.29238621863037009,3262,175
19185,0.33255705635770846,1970,172
19039,0.41564662054284198,3198,707
19097,0.428159884767735,7947,376
19155,0.3995987382786516,35112,2133
19117,0.36360465116279069,2727,400
19031,0.48086111558490365,8291,666
19175,0.4049505759333388,4688,269
19071,0.3653735632183908,2345,198
19053,0.31499364675984756,2246,233
19177,0.32325383304940377,2068,209
19105,0.48077945940718538,8911,1032
,,38,6
