ADMIN_DATE,RECIP_ID
2020-12-14,178
2020-12-15,564
2020-12-16,1384
2020-12-17,1697
2020-12-18,2671
2020-12-19,432
2020-12-20,92
2020-12-21,2609
2020-12-22,4953
2020-12-23,9253
2020-12-24,1786
2020-12-25,1
2020-12-26,605
2020-12-27,492
2020-12-28,8661
2020-12-29,7495
2020-12-30,9653
2020-12-31,5054
2021-01-01,234
2021-01-02,1970
2021-01-03,1379
2021-01-04,6109
2021-01-05,7465
2021-01-06,8658
2021-01-07,8198
2021-01-08,10488
2021-01-09,3363
2021-01-10,1332
2021-01-11,7819
2021-01-12,8915
2021-01-13,9038
2021-01-14,9431
2021-01-15,7307
2021-01-16,3805
2021-01-17,1459
2021-01-18,8537
2021-01-19,8334
2021-01-20,12206
2021-01-21,10255
2021-01-22,10170
2021-01-23,3216
2021-01-24,2295
2021-01-25,10552
2021-01-26,10423
2021-01-27,16717
2021-01-28,13919
2021-01-29,14800
2021-01-30,3972
2021-01-31,2448
2021-02-01,12322
2021-02-02,14246
2021-02-03,19605
2021-02-04,15489
2021-02-05,28165
2021-02-06,17328
2021-02-07,6431
2021-02-08,16820
2021-02-09,18765
2021-02-10,28086
2021-02-11,27809
2021-02-12,31448
2021-02-13,14447
2021-02-14,4343
2021-02-15,11627
2021-02-16,13445
2021-02-17,22740
2021-02-18,21027
2021-02-19,20398
2021-02-20,7090
2021-02-21,2020
2021-02-22,7535
2021-02-23,14324
2021-02-24,25815
2021-02-25,26983
2021-02-26,29448
2021-02-27,15390
2021-02-28,4627
2021-03-01,13303
2021-03-02,19028
2021-03-03,33111
2021-03-04,37738
2021-03-05,48260
2021-03-06,24962
2021-03-07,6616
2021-03-08,21365
2021-03-09,28937
2021-03-10,33088
2021-03-11,42218
2021-03-12,45977
2021-03-13,21792
2021-03-14,5012
2021-03-15,16818
2021-03-16,30824
2021-03-17,35307
2021-03-18,39042
2021-03-19,33893
2021-03-20,15098
2021-03-21,5735
2021-03-22,14734
2021-03-23,22833
2021-03-24,37560
2021-03-25,49101
2021-03-26,40800
2021-03-27,18693
2021-03-28,5421
2021-03-29,20404
2021-03-30,28652
2021-03-31,38604
2021-04-01,46065
2021-04-02,32932
2021-04-03,16209
2021-04-04,2553
2021-04-05,22177
2021-04-06,37254
2021-04-07,44058
2021-04-08,51554
2021-04-09,50014
2021-04-10,24295
2021-04-11,8227
2021-04-12,22243
2021-04-13,28865
2021-04-14,33057
2021-04-15,37092
2021-04-16,33430
2021-04-17,19293
2021-04-18,6946
2021-04-19,15813
2021-04-20,30707
2021-04-21,32680
2021-04-22,36445
2021-04-23,32270
2021-04-24,18149
2021-04-25,4827
2021-04-26,15991
2021-04-27,25042
2021-04-28,29388
2021-04-29,29397
2021-04-30,29891
2021-05-01,12718
2021-05-02,5285
2021-05-03,14518
2021-05-04,19256
2021-05-05,22217
2021-05-06,23207
2021-05-07,21794
2021-05-08,12768
2021-05-09,4390
2021-05-10,10016
2021-05-11,14067
2021-05-12,16446
2021-05-13,20985
2021-05-14,24232
2021-05-15,13671
2021-05-16,6554
2021-05-17,13240
2021-05-18,15760
2021-05-19,16934
2021-05-20,15086
2021-05-21,18922
2021-05-22,8382
2021-05-23,3625
2021-05-24,8515
2021-05-25,9161
2021-05-26,9823
2021-05-27,9379
2021-05-28,9224
2021-05-29,3900
2021-05-30,2029
2021-05-31,750
2021-06-01,7101
2021-06-02,7327
2021-06-03,8147
2021-06-04,11181
2021-06-05,6372
2021-06-06,3416
2021-06-07,8085
2021-06-08,7732
2021-06-09,8894
2021-06-10,8034
2021-06-11,10269
2021-06-12,4944
2021-06-13,2647
2021-06-14,6872
2021-06-15,6423
2021-06-16,6542
2021-06-17,5647
2021-06-18,6949
2021-06-19,3038
2021-06-20,1606
2021-06-21,3960
2021-06-22,4374
2021-06-23,4797
2021-06-24,4329
2021-06-25,5175
2021-06-26,2656
2021-06-27,1355
2021-06-28,3836
2021-06-29,3115
2021-06-30,3822
2021-07-01,3572
2021-07-02,3930
2021-07-03,1643
2021-07-04,369
2021-07-05,2412
2021-07-06,3369
2021-07-07,3716
2021-07-08,3244
2021-07-09,4213
2021-07-10,1986
2021-07-11,1163
2021-07-12,2129
2021-07-13,1172
