County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,211573,38821,30657,385,349,36
Linn,92014,15756,12882,228,215,13
Scott,67484,13313,10102,128,121,7
Johnson,62527,10520,8821,45,41,4
Black Hawk,55428,12098,10199,200,188,12
Woodbury,48090,11692,9819,153,144,9
Dubuque,46581,10186,8591,129,122,7
Story,44300,7617,6249,24,22,2
Dallas,41530,7396,5862,60,50,10
Pottawattamie,38035,7710,5749,83,76,7
Warren,21342,3431,2514,26,24,2
Cerro Gordo,19061,4118,3157,55,48,7
Webster,17991,4191,3256,53,47,6
Clinton,17129,3893,2993,52,47,5
Des Moines,16766,3343,2630,29,26,3
Muscatine,16722,3381,2602,69,63,6
Marshall,16381,3837,3222,53,50,3
Jasper,13848,2633,1986,50,48,2
Wapello,13158,2940,2313,89,87,2
Sioux,12853,4161,3527,40,39,1
Buena Vista,12487,3499,2880,21,18,3
Lee,12363,2671,1864,23,19,4
Marion,11852,2444,1876,34,29,5
Plymouth,10907,3206,2553,44,38,6
Boone,10380,1700,1267,14,12,2
Benton,9974,1912,1531,34,30,4
Carroll,9273,2238,1850,27,21,6
Bremer,9213,2165,1756,40,37,3
Washington,9122,1707,1248,26,25,1
Henry,8878,2379,1763,20,20,0
Pending Investigation,8815,433,387,0,0,0
Dickinson,8347,1625,1244,13,11,2
Mahaska,8073,1564,1150,32,30,2
Jones,7994,2508,2188,35,34,1
Winneshiek,7603,1267,869,16,14,2
Buchanan,7406,1359,1073,15,14,1
Crawford,7200,1995,1674,16,13,3
Fayette,7060,1222,933,14,13,1
Jackson,7047,1704,1384,25,24,1
Cedar,7039,1292,962,17,16,1
Tama,6749,1677,1409,55,53,2
Clay,6647,1464,1041,10,7,3
Poweshiek,6627,1131,917,21,20,1
Wright,6608,1451,1135,13,11,2
Hardin,6603,1373,1045,22,20,2
Iowa,6393,1086,838,19,19,0
Mills,6380,1225,995,12,12,0
Delaware,6369,1570,1332,27,26,1
Floyd,6138,1225,900,28,20,8
Kossuth,6089,1424,909,24,23,1
Hamilton,5948,1371,973,21,21,0
Jefferson,5785,878,613,18,17,1
Madison,5671,869,636,8,7,1
Clayton,5438,1289,1002,31,27,4
Butler,5412,1177,904,15,14,1
Union,5377,962,677,13,13,0
O'Brien,5312,1497,1190,48,44,4
Harrison,5140,1305,984,50,47,3
Cass,4938,970,717,38,36,2
Page,4928,1309,1135,11,11,0
Winnebago,4861,1060,839,27,22,5
Allamakee,4741,1066,699,18,15,3
Cherokee,4644,1130,741,18,16,2
Hancock,4628,1084,780,22,18,4
Appanoose,4614,897,706,34,34,0
Grundy,4463,988,764,14,12,2
Calhoun,4462,1152,968,9,9,0
Guthrie,4438,873,681,22,17,5
Mitchell,4414,944,693,20,20,0
Louisa,4336,989,775,23,19,4
Sac,4320,994,750,10,10,0
Chickasaw,4198,986,799,10,9,1
Shelby,4110,881,699,23,23,0
Franklin,3999,840,656,17,16,1
Emmet,3935,909,706,23,22,1
Humboldt,3790,893,679,17,14,3
Palo Alto,3631,775,592,2,2,0
Lyon,3620,1178,929,21,19,2
Clarke,3551,576,451,6,6,0
Howard,3392,653,473,15,11,4
Greene,3386,609,482,6,6,0
Montgomery,3334,665,416,13,12,1
Keokuk,3206,746,517,18,18,0
Monona,2969,519,379,13,12,1
Pocahontas,2902,667,500,6,6,0
Adair,2836,538,397,16,12,4
Lucas,2836,451,298,6,6,0
Worth,2833,462,326,2,2,0
Decatur,2602,388,301,3,3,0
Ida,2551,654,425,19,18,1
Davis,2458,596,436,15,14,1
Monroe,2424,545,407,16,15,1
Van Buren,2128,428,341,11,10,1
Fremont,2120,437,351,5,3,2
Taylor,2053,513,421,8,7,1
Osceola,1971,599,487,5,5,0
Audubon,1950,342,278,7,7,0
Ringgold,1869,334,178,6,6,0
Wayne,1752,344,273,21,17,4
Adams,1216,224,154,2,2,0
,,,,1,1,0
