ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,270699,255710,14989
19021,10774,7142,3632
19027,10979,9759,1220
19049,47330,44520,2810
19181,18127,17000,1127
19013,74243,67859,6384
19033,27180,25100,2080
19169,52487,49328,3159
19195,1744,1743,1
19083,7531,6180,1351
19189,4486,3973,513
19081,3750,3009,741
19155,49682,44702,4980
19139,19131,13941,5190
19009,2127,2026,101
19005,5760,5634,126
19099,15234,14032,1202
19103,94968,90418,4550
19017,13810,12392,1418
19065,11036,10078,958
19061,62638,60268,2370
19041,8567,8254,313
19063,5041,4633,408
19147,3492,3326,166
19193,48964,43907,5057
19003,1680,1664,16
19173,2263,2233,30
19175,5278,4931,347
19067,7586,6369,1217
19035,5065,4693,372
19123,8073,7484,589
19183,7899,7307,592
19179,13245,12207,1038
19073,4933,4410,523
19113,131703,122196,9507
19019,6662,6295,367
19101,8449,7446,1003
19127,17190,13999,3191
19109,6476,5959,517
19187,18634,17204,1430
19037,3167,2805,362
19011,8054,7575,479
19141,5691,5301,390
19045,18521,16823,1698
19131,4623,4435,188
19029,10667,10200,467
19135,3587,3221,366
19059,7933,7653,280
19159,2109,2103,6
19163,87098,80455,6643
19125,16239,12117,4122
19149,10112,7117,2995
19015,11955,11352,603
19091,4375,3943,432
19151,2079,1901,178
19055,5437,4615,822
19031,6538,6240,298
19167,12846,10065,2781
19143,1715,1518,197
19161,3287,3220,67
19069,3742,3472,270
19133,2373,2143,230
19075,5057,4559,498
19171,9164,8180,984
19137,3874,3275,599
19111,14300,12141,2159
19197,6695,4904,1791
19047,7759,6151,1608
19077,4682,4366,316
19093,2121,1594,527
19051,4932,3243,1689
19025,4299,4091,208
19145,7640,6785,855
19057,19035,18273,762
19007,4718,4212,506
19157,9651,9187,464
19191,9294,8224,1070
19023,4007,3817,190
19087,9378,7360,2018
19053,2996,2864,132
19097,8370,8067,303
19001,2549,2205,344
19079,7363,6945,418
19095,6333,5682,651
19119,3101,2994,107
19043,6652,5983,669
19117,3851,3410,441
19039,5646,4259,1387
19107,1704,1604,100
19165,5972,5801,171
19185,3309,2904,405
19115,4780,3219,1561
19121,7100,6918,182
19177,1551,1420,131
19085,3572,3302,270
,5211,5210,1
19105,7197,6208,989
19129,6045,5878,167
19089,2392,2172,220
19071,1705,1607,98
