Age Group Public,RECIP_ID
0 - 11,7
12 - 15,85292
16 - 17,57682
18 - 19,67306
20 - 29,339757
30 - 39,377138
40 - 49,389587
50 - 59,475948
60 - 64,294672
65+,921071
