Age Group Public,RECIP_ID
0 - 11,5
12 - 15,73785
16 - 17,53917
18 - 19,64285
20 - 29,329697
30 - 39,368359
40 - 49,381360
50 - 59,467707
60 - 64,290845
65+,914119
