Age Group Public,RECIP_ID
0 - 11,7
12 - 15,79169
16 - 17,55586
18 - 19,65602
20 - 29,334375
30 - 39,372258
40 - 49,385096
50 - 59,471416
60 - 64,292622
65+,917891
