ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19193,36892,33725,3167
19061,46856,45549,1307
19153,157501,150456,7045
19139,12906,8799,4107
19169,31434,29910,1524
19049,27435,25943,1492
19173,1942,1942,0
19057,14245,13694,551
19163,61124,57119,4005
19113,86172,79367,6805
19111,10036,8852,1184
19125,12580,8871,3709
19123,5489,5212,277
19187,13678,12840,838
19033,19708,18495,1213
19165,4444,4398,46
19145,5519,4892,627
19167,9995,7641,2354
19103,66140,63230,2910
19069,3006,2820,186
19003,1458,1457,1
19079,5540,5201,339
19189,3357,2965,392
19191,6230,5565,665
19067,5336,4605,731
19099,9590,9076,514
19013,53226,48618,4608
19021,8062,4902,3160
19065,9145,8336,809
19035,3907,3734,173
19127,10397,7882,2515
19133,1672,1567,105
19087,5710,5072,638
19155,36615,32322,4293
19031,4927,4726,201
19083,5849,4676,1173
19115,4209,2716,1493
19177,1323,1254,69
19181,11829,11296,533
19011,6212,5849,363
19131,3876,3812,64
19077,3307,3133,174
19017,10179,9225,954
19141,4393,4168,225
19019,5065,4875,190
19129,4128,4036,92
19029,8584,8333,251
19149,8505,5713,2792
19097,6127,5994,133
19095,4225,3748,477
,4254,4254,0
19121,5025,4920,105
19041,7027,6955,72
19051,4292,2697,1595
19071,1414,1341,73
19105,4634,4029,605
19107,1374,1274,100
19197,5219,3727,1492
19053,2491,2386,105
19015,8383,8075,308
19195,1354,1354,0
19045,11840,10779,1061
19159,1705,1705,0
19063,3604,3307,297
19001,2143,1863,280
19135,2708,2509,199
19005,4928,4881,47
19075,3801,3594,207
19101,6357,5603,754
19157,6011,5848,163
19027,8097,7309,788
19059,6132,6001,131
19171,6356,5416,940
19009,1817,1717,100
19183,5404,5003,401
19023,3217,3114,103
19037,2543,2245,298
19109,5132,4756,376
19073,3803,3451,352
19047,6108,4650,1458
19091,3650,3334,316
19147,2860,2772,88
19179,9093,8656,437
19007,3929,3520,409
19175,3606,3470,136
19117,2783,2472,311
19043,5859,5270,589
19055,4045,3435,610
19185,2762,2424,338
19093,1797,1371,426
19081,2934,2368,566
19143,1375,1250,125
19039,4376,3112,1264
19137,2892,2387,505
19085,2775,2588,187
19025,3572,3451,121
19089,1599,1512,87
19119,2437,2412,25
19151,1547,1417,130
19161,2806,2806,0
