Age Group Public,RECIP_ID
0 - 11,4
12 - 15,67100
16 - 17,51805
18 - 19,62558
20 - 29,323381
30 - 39,362775
40 - 49,376358
50 - 59,462694
60 - 64,288604
65+,911378
