County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,21171,247353,13222,528699
Linn,7138,119096,8923,253002
Scott,6271,78117,6321,170053
Johnson,5611,88644,4316,186837
Black Hawk,4353,65827,6213,142427
Story,4154,48193,2859,102587
Woodbury,3915,42189,4950,92815
Pottawattamie,3802,43429,4884,96465
Dallas,3087,43128,2518,90482
Dubuque,2978,58869,2240,122760
Cerro Gordo,1831,24376,1986,52648
Des Moines,1695,17576,725,37622
Clinton,1550,16196,1598,35616
Webster,1328,16618,1353,36197
Warren,1155,16631,1040,35292
Muscatine,1040,13495,4997,33149
Marshall,992,13512,2954,30847
Lee,815,11758,1962,26530
Bremer,771,12021,1275,26084
Wapello,766,11849,959,25542
Marion,744,11776,4043,28483
Jasper,694,13713,1158,29076
Buena Vista,633,6839,3591,18000
Page,612,6600,848,14691
Jefferson,572,7224,979,15994
Boone,564,11032,577,23151
Emmet,550,4554,385,10162
Tama,531,8065,984,17732
Sioux,507,9819,2694,22847
Carroll,505,9492,1128,20793
Washington,498,7080,553,15225
Mills,490,5770,150,12209
Winneshiek,489,7982,1062,17483
Henry,473,7141,1948,16755
Fayette,471,9896,934,21210
Mahaska,469,7264,575,15621
Dickinson,459,7463,258,15643
Clay,453,8052,302,16803
Poweshiek,450,8999,431,18788
Cass,434,10034,432,21165
Plymouth,381,6940,2978,17281
Benton,349,7414,464,15649
Crawford,338,5978,1591,13908
Kossuth,319,5823,499,12500
Union,315,4789,319,10116
Jackson,306,7910,260,16369
Montgomery,298,3164,582,7228
Grundy,290,4483,412,9680
Allamakee,286,5517,118,11446
Madison,282,6789,162,14095
Buchanan,276,6130,343,12873
Appanoose,270,4136,483,9117
Wright,263,4762,1722,11490
Floyd,262,6220,1087,13806
Shelby,252,5664,146,11767
Clarke,244,4143,1365,9910
Out of State,244,5211,1,10375
Harrison,243,3268,255,7047
Jones,241,6088,911,13377
O'Brien,240,5193,358,10992
Cedar,228,6128,289,12741
Hamilton,226,6819,411,14434
Winnebago,220,3851,506,8444
Hardin,217,6069,1347,13761
Cherokee,217,4580,289,9673
Humboldt,213,3874,400,8510
Delaware,209,4543,781,10041
Iowa,201,5618,623,12080
Greene,190,4341,509,9455
Clayton,177,5931,668,12752
Guthrie,170,4300,278,9067
Wayne,165,2876,387,6412
Palo Alto,163,3269,156,6882
Decatur,159,2822,123,6022
Davis,153,3172,1667,8217
Louisa,144,3172,1535,8015
Mitchell,143,4345,166,9019
Lucas,143,3345,415,7337
Monroe,138,3147,306,6771
Franklin,133,3420,255,7237
Adair,114,2181,333,4762
Chickasaw,109,2761,345,5968
Howard,109,2136,189,4553
Lyon,108,2951,79,6101
Sac,88,3214,52,6587
Ida,87,1576,506,3742
Butler,85,3793,177,7870
Monona,79,2107,217,4493
Calhoun,78,4081,187,8460
Taylor,77,2188,22,4504
Hancock,76,2976,721,6749
Van Buren,76,1409,125,3021
Adams,71,1647,10,3565
Ringgold,71,2061,6,4257
Pocahontas,70,1870,158,3973
Fremont,60,1598,98,3354
Worth,43,1723,1,3487
Audubon,37,2000,101,4138
Osceola,37,1493,181,3202
Keokuk,29,1594,100,3315
