Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.16441969519343495,American Indian or Alaska Native
Asian,0.3649472770717674,Asian
Black,0.18978181960110847,Black
Native Hawaiian or Other Pacific Islander,0.33388842631140716,Native Hawaiian or Other Pacific Islander
Other Race,0.5066718361280734,Other Race
White,0.4101406746226059,White
