RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,501237,18798,234697,13042
19161,7986,152,3749,336
19027,19470,379,9045,1001
19013,121084,3550,56080,5375
19017,23679,620,11007,1045
19019,17733,389,8357,630
19195,5985,122,2838,187
19033,41246,1184,19182,1698
19081,8129,144,3763,459
19169,99083,3411,46474,2722
19139,37159,1183,15978,4020
19165,10887,215,5224,224
19009,5271,75,2522,152
19191,19906,429,9293,891
19103,174962,4486,82828,4822
19065,16994,423,7993,585
19061,101163,1884,48764,1751
19147,7232,178,3415,223
19183,19580,543,9167,703
19193,79870,3090,36096,4588
19003,3084,73,1475,61
19173,4580,93,2207,73
19041,13427,335,6347,397
19125,25748,710,11454,2130
19123,14475,427,6623,802
19157,17355,448,8227,453
19099,33207,916,15358,1576
19073,7881,210,3579,513
19113,235342,6382,110295,8368
19049,95461,3030,45033,2367
19171,15681,468,7184,844
19109,12623,322,5875,552
19187,31706,1021,14659,1367
19011,22972,582,10746,898
19045,37626,1068,17560,1438
19067,12964,335,6054,521
19189,8457,210,3834,579
19131,8250,153,3948,201
19029,11947,279,5657,354
19135,5525,126,2541,317
19127,37370,1217,16772,2610
19063,7526,349,3432,313
19159,4116,78,1998,42
19115,7923,228,3330,1035
19163,143006,4798,66486,5237
19149,19156,479,8288,2101
19059,16387,431,7842,272
19093,5031,113,2258,402
19015,26919,709,12733,744
19141,10991,225,5123,520
19075,11918,312,5567,472
19091,7407,174,3437,359
19151,5522,113,2598,213
19055,14026,290,6445,846
19101,13714,490,6256,712
19005,10641,295,5060,226
19181,47518,1502,22343,1330
19025,9084,199,4273,339
19083,14351,279,6576,920
19069,8318,200,3873,372
19023,13505,293,6388,436
19133,7187,141,3407,232
19085,10716,358,5000,358
19137,8370,293,3776,525
19111,24658,676,11224,1535
19197,10827,244,4838,907
19179,24843,713,10884,2362
19121,13797,352,6556,333
19143,4330,80,2016,218
19051,5159,141,2430,158
19047,12844,308,5609,1318
19145,12456,450,5736,534
19043,13479,229,6337,576
19057,30214,1167,14081,885
19007,8966,246,4151,417
19107,7359,157,3450,302
19077,9986,279,4685,337
19129,11778,385,5557,279
19021,16529,607,6463,2997
19087,15575,446,6771,1587
19079,14405,343,6694,674
19035,9533,231,4468,366
19001,5601,155,2564,318
19037,9856,194,4486,690
19095,15912,395,7409,699
19167,21860,478,9860,1662
19089,7128,145,3258,467
19119,6790,108,3254,174
19185,4224,114,1970,171
19039,7304,238,3181,704
19097,16548,311,7932,373
19155,74721,2703,34948,2124
19117,5964,139,2715,395
19031,17595,412,8260,662
19175,9907,307,4666,267
19071,5002,126,2339,198
19053,4833,135,2233,232
19177,4437,114,2061,201
19105,19179,364,8895,1025
,88,6,38,6
