Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.16811254396248535,American Indian or Alaska Native
Asian,0.37109333206528846,Asian
Black,0.1943952226689044,Black
Native Hawaiian or Other Pacific Islander,0.3405495420482931,Native Hawaiian or Other Pacific Islander
Other Race,0.5153791476850506,Other Race
White,0.41380653916644519,White
