Age Group Public,RECIP_ID
0 - 11,7
12 - 15,77725
16 - 17,55140
18 - 19,65216
20 - 29,333109
30 - 39,371212
40 - 49,384013
50 - 59,470332
60 - 64,292136
65+,917292
